business_id,name,period_type,current_period,previous_period,rising_star_labels,current_review_count,current_avg_stars,current_rating_improvement,prior_review_count,prior_avg_stars,prior_rating_improvement,last_update_date
00eSqUS2r4pm0dFZhZ3d1g,HG Bucks Bagels,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",12,3.5,2.2777777777777777,9,1.2222222222222223,null,2025-02-24
04Ss49U_QKYLotcJMAH8cA,Ike’s Love & Sandwiches,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",17,4.823529411764706,1.0485294117647057,40,3.775,null,2025-02-24
06ddjGdyYk580UtBwyfbdw,River City Coffee & Cafe,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",20,3.4,1.1999999999999997,10,2.2,null,2025-02-24
0731UACIuzJuG75tUx6w9A,Diamond Fitness,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",12,4,3,2,1,null,2025-02-24
08LQAC48MVFa27YZKahEkg,OB Clark's,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",12,4.083333333333333,1.708333333333333,8,2.375,null,2025-02-24
09yJ9otVHkiousXb9MEb4Q,The Reef Bar and Grill,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",10,3.5,1.1111111111111112,18,2.388888888888889,null,2025-02-24
0HKmdbx8ggbs6Izp93yp-g,Indygo Public Transportation,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",18,3.3333333333333335,1,3,2.3333333333333335,null,2025-02-24
0K4RwxdAcViifyU3Htzxww,Southwark Restaurant,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",24,4.583333333333333,1.083333333333333,8,3.5,null,2025-02-24
0Nqa0zPHoB_GVucVMd9f6w,Club Risqué,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",13,4.461538461538462,2.128205128205128,3,2.3333333333333335,null,2025-02-24
0Ts5yQFA4yDouX2e_FAIKw,Yellow House Furniture,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",11,4.090909090909091,1.0909090909090908,2,3,null,2025-02-24
0Wvt6NVBAIfVGV3euQHlvQ,Zinga's,YoY,2020-01-01,2019-01-01,"[""Rising Star 2019-2020""]",17,4.352941176470588,1.052941176470588,10,3.3,null,2025-02-24
0zWAsCBzvuCI_Ydx7yH1Jw,Shing Kee,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",12,4.583333333333333,1.458333333333333,8,3.125,null,2025-02-24
10KnzbTaz-Yq8wADXGuOlw,Alley Taps,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",13,4.538461538461538,1.2051282051282048,12,3.3333333333333335,null,2025-02-24
1A9p0iMiPsIqC0iDRMfZow,Starbucks,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",10,3.9,1.5666666666666664,6,2.3333333333333335,null,2025-02-24
1DkolDhbc0kydORZCIp7Fw,Night Market,YoY,2011-01-01,2010-01-01,"[""Rising Star 2010-2011""]",11,3.727272727272727,1.8939393939393938,12,1.8333333333333333,null,2025-02-24
1Pxg1AMf0rEn9QF__ZYoWw,Samurai Sushi,YoY,2010-01-01,2009-01-01,"[""Rising Star 2009-2010""]",29,4.310344827586207,1.6436781609195408,6,2.6666666666666665,null,2025-02-24
1SwfAYI1HGDyJKHmdRXI5Q,Dale's Family Restaurant,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",16,4.625,1.625,2,3,null,2025-02-24
1TJiHekuN26Y2W7n28olYA,El Pollo Loco,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,3.9,1.1222222222222222,9,2.7777777777777777,null,2025-02-24
1VwKF8k94o44UojPCaaDBg,Greek's Pizzeria Fishers,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",12,4.583333333333333,1.083333333333333,8,3.5,null,2025-02-24
1WI2mxWeyKqNcEevbvxYGQ,Northwest Medical Center,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",15,2.8,1.0999999999999999,10,1.7,null,2025-02-24
1gWUE5Avh_pswlHhf813EQ,Roscoe's Tacos - Greenwood,YoY,2010-01-01,2009-01-01,"[""Rising Star 2009-2010""]",10,4.3,2.3,1,2,null,2025-02-24
1wKh-xV5jZY0NoDbHV4Q2A,Happy Foot Spa & Nails,YoY,2020-01-01,2019-01-01,"[""Rising Star 2019-2020""]",13,4.076923076923077,1.8355437665782492,29,2.2413793103448274,null,2025-02-24
21VZvDjXlduwqtmJ1wIwWQ,Mike's Brick Oven Pizza,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",10,3.8,1.0499999999999998,4,2.75,null,2025-02-24
21Xvkrousd7BMUeAMp6M5A,Bloomingdale Pizza,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",13,4.3076923076923075,1.8076923076923075,8,2.5,null,2025-02-24
23wO6ic61V41UfGz9eCeQQ,Nothing Bundt Cakes,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",27,4.925925925925926,1.4259259259259256,2,3.5,null,2025-02-24
2C1woaOBpUC2iEpvKx96gg,Continental Treat Fine Bistro Gluten Free,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,4.3,1.0777777777777775,9,3.2222222222222223,null,2025-02-24
2OcVR4GRcmVsC118dn2QWA,Jackson Brewery,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",11,2.909090909090909,1.7090909090909092,5,1.2,null,2025-02-24
2VplyB_rOt07atsvDlueXg,Royal Jaguar Land Rover Tucson,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",12,4.916666666666667,1.3166666666666669,10,3.6,null,2025-02-24
2f1ZnZg7730yChhV24ARJw,Starbucks,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",16,3.375,1.125,4,2.25,null,2025-02-24
2pov9KtQBTChfCoJ0IvU5A,MisterLino,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",22,3.909090909090909,1.5757575757575757,3,2.3333333333333335,null,2025-02-24
2qg67Mq6cKjl1GPbls32Dg,Subway,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",10,4.5,2.1666666666666665,6,2.3333333333333335,null,2025-02-24
3CF9oBttNp3aKysz7GaNEw,Essentials Massage & Facial Spa,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",27,4.592592592592593,1.1640211640211642,14,3.4285714285714284,null,2025-02-24
3Hkfuk0g1A13qmLZbtWrTA,House of Brews,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",14,3.857142857142857,1.220779220779221,11,2.6363636363636362,null,2025-02-24
3XRHR2IZ7yd3FDAogps20A,Jimmy's Pita & Poke,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",32,4.375,1.8194444444444446,18,2.5555555555555554,null,2025-02-24
3YDXcj6vfpIDej7cULGh8A,Hospital of the University of Pennsylvania,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",17,2.8823529411764706,1.5490196078431373,6,1.3333333333333333,null,2025-02-24
3ZpLxaLK1dM5t3-pyUhh7w,Horizon Services,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",12,2.75,1.75,1,1,null,2025-02-24
3czT65zbslmUQSkzCPfp8Q,Falafel Exotic Cuisine,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",10,3.9,1.3285714285714283,7,2.5714285714285716,null,2025-02-24
3tdQCw6mdSTHMNTV0iyX8Q,Toula's Creole Kitchen,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",30,3.8,1.7999999999999998,4,2,null,2025-02-24
3uLgwr0qeCNMjKenHJwPGQ,Century 20 El Con and XD,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,3.3,1.2999999999999998,10,2,null,2025-02-24
3vQNIt7SakHj9YZIhHbJHw,South Street Business Center,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,3.6,1.0285714285714285,7,2.5714285714285716,null,2025-02-24
4MHUWIRaIPgheiD96UCtmw,Cinco De Mayo Mexican Restaurant - Whitebridge,YoY,2011-01-01,2010-01-01,"[""Rising Star 2010-2011""]",10,4,1,3,3,null,2025-02-24
4O84u40D69hk3_CQgpxIxw,Reno Modern Dentistry and Orthodontics,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",10,4.6,1.1999999999999997,5,3.4,null,2025-02-24
4QUPNvG8MC2t2NTngpNgBg,Stacy's Gluten Free Goodies,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",10,4.6,1.3999999999999995,5,3.2,null,2025-02-24
4RrwqZwLnRe0Yhkv5_03fQ,Alamo Rent A Car,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",31,3.5806451612903225,1.2056451612903225,8,2.375,null,2025-02-24
4SQ5uczVt66-GGGeNQRfEA,Rotten Ralph's,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",16,3.125,1.125,11,2,null,2025-02-24
4TleqRlbwgXcIgz33HjLJQ,Nudy's Eastside Café,YoY,2010-01-01,2009-01-01,"[""Rising Star 2009-2010""]",14,3.9285714285714284,1.214285714285714,7,2.7142857142857144,null,2025-02-24
4bIWYWFu2OobvS2gz4Lx0g,Pollo Feliz,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",11,2.1818181818181817,1.1818181818181817,2,1,null,2025-02-24
4bvQThX0cJxlx67PU9nmLQ,Leafy Greens Cafe,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",25,4.48,1.0254545454545458,11,3.4545454545454546,null,2025-02-24
4uJ6Ox6GRMVzkUt306kzIQ,Superior Moving & Storage,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",14,3.9285714285714284,1.7285714285714282,10,2.2,null,2025-02-24
4uSvwXB9rSijObRzZ-vMBg,Dean Team Volkswagen of Kirkwood,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",12,2.9166666666666665,1.1166666666666665,5,1.8,null,2025-02-24
4yE9Jon2vRbLn4T2abC6Fw,Royal Palms Natural Nail Spa,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",18,4.277777777777778,1.3777777777777778,10,2.9,null,2025-02-24
4yHY_84sFLmPed2MPJVA9Q,Ravello Pizzeria,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",11,4.2727272727272725,1.1727272727272724,10,3.1,null,2025-02-24
5436KvwrJOTZzhNYEhcK-g,Pollo Supremo,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",11,4.909090909090909,1.4805194805194808,7,3.4285714285714284,null,2025-02-24
5Gl2X90m5oudrP_nD9zckA,ShopRite of Mt. Laurel,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",11,2.909090909090909,1.6590909090909092,4,1.25,null,2025-02-24
5Hvt4NPyJBRV8BL6U3xMuQ,Not Just Pizza,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",12,3.75,1.75,1,2,null,2025-02-24
5Jta7dTc7lteIyeMfLUJWQ,Corner Oyster House,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",90,3.0444444444444443,1.083279395900755,103,1.9611650485436893,null,2025-02-24
5OK71bsZ3UndLeTXUE5mKw,Cafe Minh,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",10,4.3,1.1333333333333333,12,3.1666666666666665,null,2025-02-24
5bT-bq-u8rEjBopZg4LCeQ,Dry Dock Cafe,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",13,3.3846153846153846,1.0096153846153846,8,2.375,null,2025-02-24
5fCpLBp4DeG5uZ3RkhJUYg,Sushi Ya,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",16,3.875,1.0568181818181817,11,2.8181818181818183,null,2025-02-24
5qmNrtr0iNyhCk6ky3c97w,The Cheesecake Factory - Cool Springs,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",32,3.78125,1.1145833333333335,27,2.6666666666666665,null,2025-02-24
5xlx22Fy29oXQfTgExe7UQ,Valère Salon & Spa,YoY,2017-01-01,2016-01-01,"[""Rising Star 2016-2017""]",16,4.1875,2.1875,1,2,null,2025-02-24
6-WOy4WWsMdSOLZgyF8m-w,Imo's Pizza,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,3,1.1428571428571428,7,1.8571428571428572,null,2025-02-24
69_5ZefofuhXv2ymn-xc9A,South Coast Deli- Isla Vista,YoY,2012-01-01,2011-01-01,"[""Rising Star 2011-2012""]",14,4.5,1.1666666666666665,3,3.3333333333333335,null,2025-02-24
6B8eXFfC1z1G82fguzAZ4Q,Orangetheory Fitness Tucson - East,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",14,4.357142857142857,1.3571428571428568,2,3,null,2025-02-24
6JDz0YuBr6isXuosONr2yg,Cotton & Snow,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",12,4.416666666666667,1.5833333333333335,6,2.8333333333333335,null,2025-02-24
6MU8HYP0Yo5ilHuPWakcqw,Diagnostic Clinic Medical Group - Largo,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",23,3,1,21,2,null,2025-02-24
6OTCxq9JQDRNwakXI9k3HQ,Thai Basil,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",14,4.642857142857143,1.8428571428571434,5,2.8,null,2025-02-24
6TciI6uBdrd8z1av1YleLg,Pepe's Mexican Restaurant,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",23,4,1,22,3,null,2025-02-24
6TwYcKp_47VueK7EwNFDxQ,Dadz Bar & Grill,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",12,3.1666666666666665,1,12,2.1666666666666665,null,2025-02-24
6fU2warwiMf57FBDS-zKnw,Nevada Department of Motor Vehicles,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",28,3.3214285714285716,1.043650793650794,18,2.2777777777777777,null,2025-02-24
6yR6piTIuUG_9P_ctivxKw,Macy's,YoY,2008-01-01,2007-01-01,"[""Rising Star 2007-2008""]",14,3.4285714285714284,1.3174603174603172,9,2.111111111111111,null,2025-02-24
6yViIhBe4Qd60a-GCDbm5w,Ambler Pizza,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",14,4.5,1.0833333333333335,12,3.4166666666666665,null,2025-02-24
6zXBmEBGqFVwTcPqmGStfw,Bullseye Burger House,YoY,2020-01-01,2019-01-01,"[""Rising Star 2019-2020""]",20,4.45,1.4500000000000002,9,3,null,2025-02-24
70JaUaWlwZb_D8V5slNwkQ,DoggieVIP Philly,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",15,5,1.3333333333333335,6,3.6666666666666665,null,2025-02-24
71CCyiD8inLsSXFgd0Y0wQ,Jason's Deli,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",10,4.4,2.9000000000000004,2,1.5,null,2025-02-24
7By14zAA2oIyMH1YRUm9uQ,Salem's Fresh Eats,YoY,2020-01-01,2019-01-01,"[""Rising Star 2019-2020""]",11,3.6363636363636362,1.0113636363636362,8,2.625,null,2025-02-24
7QQwpQKy5f5NHjsA5_-Kkg,Toppers Spa/Salon - Devon,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",11,3.5454545454545454,1.7121212121212122,6,1.8333333333333333,null,2025-02-24
7jC44EDeHMSyLF7tHFLeqQ,Ashley HomeStore,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",11,3.272727272727273,2.172727272727273,10,1.1,null,2025-02-24
7rJjMU7YVDtLwOvHbQ1tbg,Ruby Tuesday,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",12,2.75,1.0357142857142858,7,1.7142857142857142,null,2025-02-24
7sNKCi0aCm8_q5I1gb67ig,Backfin Blue Cafe,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",10,4.2,1.2000000000000002,11,3,null,2025-02-24
7stknIh9GW-3sUK8zhv5Ow,Crossroads Restaurant,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",11,4.090909090909091,1.0909090909090908,6,3,null,2025-02-24
7u68SlaFWfF_bUHQrJtGmQ,El Pollo Loco,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",10,3.6,1.35,4,2.25,null,2025-02-24
7wcHZ80HLJVwUijAH_efJQ,Breakwater Restaurant,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",20,4.15,1.104545454545455,22,3.0454545454545454,null,2025-02-24
8BLTQlfijNA2LSFEz-d3hg,Tampa Marriott Water Street,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",65,3.8615384615384616,1.0365384615384614,40,2.825,null,2025-02-24
8D-aWgw0Uu2oh4bOJY5QUw,Beef 'O' Brady's,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",26,3.576923076923077,1.076923076923077,8,2.5,null,2025-02-24
8DgydGfkCYt2aGpbVMmhNQ,Florentino's Restaurant,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",10,4.6,1.1714285714285713,7,3.4285714285714284,null,2025-02-24
8MzF1Tlgz0pOkxmhP5dYzA,El Cap Restaurant,YoY,2010-01-01,2009-01-01,"[""Rising Star 2009-2010""]",12,4.25,1.7045454545454546,11,2.5454545454545454,null,2025-02-24
8Y3Qw0aFzO4sw-9cJmK4cw,Cracker Barrel Old Country Store,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",19,3.6315789473684212,1.1477079796264857,31,2.4838709677419355,null,2025-02-24
8ZjJpnLyklvdj8ng0zjRSA,Zola,YoY,2009-01-01,2008-01-01,"[""Rising Star 2008-2009""]",13,4.153846153846154,1.1538461538461542,5,3,null,2025-02-24
8cep0_812ftdvVZcU2hv1w,Movegreen,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",18,4.555555555555555,1.0555555555555554,12,3.5,null,2025-02-24
8grIwJYQJ16EUImULDCdQw,Randi's Restaurant and Bar,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",15,3.7333333333333334,1.4606060606060605,11,2.272727272727273,null,2025-02-24
8yPwrhB7jqEB7arUxL5-fA,Cafe Flora,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",12,3.5833333333333335,1.5833333333333335,4,2,null,2025-02-24
8zzOcodws_GwKokAWDD6Ew,Ashley HomeStore,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",14,3.2857142857142856,1.214285714285714,14,2.0714285714285716,null,2025-02-24
9-hinODYdb3naN7t1sLPAA,CarMax,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",11,3.909090909090909,1.5090909090909093,10,2.4,null,2025-02-24
90HNEF0yUBPl2uRLZx2Pag,Spa on Main,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",10,4.2,1.5333333333333337,3,2.6666666666666665,null,2025-02-24
90LsqLbaoQpz_xNbSQsCFA,Starbucks,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",10,3,1.8571428571428572,7,1.1428571428571428,null,2025-02-24
9EApZ0XfpDuDhMQT7phVKw,Massage Envy - Wilmot,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",11,5,1,1,4,null,2025-02-24
9Jdg1BCcqiSWUEszAc9BOQ,Pomodoro Pizza & More,YoY,2020-01-01,2019-01-01,"[""Rising Star 2019-2020""]",10,4.7,1.088888888888889,18,3.611111111111111,null,2025-02-24
9Kv44VNO_8Vhy8l7_kOvHA,Milanj Diamonds,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",12,4.75,1.2045454545454546,11,3.5454545454545454,null,2025-02-24
9SQlv-ogZ7lvqe0yzHd4wg,Lemon Salon,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",11,5,1.1111111111111112,9,3.888888888888889,null,2025-02-24
9dL1rsPANYr-71hdwoY-CA,Desi Tadka Indian Cuisine,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",18,4.111111111111111,1.4236111111111107,16,2.6875,null,2025-02-24
9lPODDn-8YsufE-szzfUKQ,Andy Mohr Avon Nissan,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",11,2.3636363636363638,1.3636363636363638,1,1,null,2025-02-24
A3P0BQ10fhjmR2skHKNOkQ,Asuka Sushi,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",14,4.571428571428571,1.1964285714285712,16,3.375,null,2025-02-24
AFZTm786brtTbEc5yYBgfA,Reyes Market,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",16,4.625,2.025,5,2.6,null,2025-02-24
ALhV80NGETrPctkxzIHk5g,Rosati's on 6th,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",14,3.0714285714285716,1.3214285714285716,4,1.75,null,2025-02-24
AWo28R8h3bEEZJtIkravnQ,The Global Quesadilla,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",11,4.090909090909091,1.7062937062937062,13,2.3846153846153846,null,2025-02-24
B-SiesU4hxIiL7rl7vzayA,Jim's Steaks,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",25,4.52,1.3661538461538458,13,3.1538461538461537,null,2025-02-24
B3rk9iwqvNGt26I8qNUPQA,Ashley HomeStore,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",22,3.272727272727273,1.772727272727273,6,1.5,null,2025-02-24
B5eJm8A4eiuPLW5C6l75dQ,Di Bruno Bros.,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",12,4.916666666666667,1.7738095238095242,7,3.142857142857143,null,2025-02-24
B7VwHrJ5XjNiyg6Uj9lU5A,Orchid Nails & Spa,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",20,4.5,1.1,5,3.4,null,2025-02-24
B7v9dviiq66AFf8GYNJbcg,Best Buy East Sparks,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",12,3.9166666666666665,1.7916666666666665,8,2.125,null,2025-02-24
BCBqZt5BKLnLhzzepnEvHw,Panda Asian Fusion,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",10,4.4,1.854545454545455,11,2.5454545454545454,null,2025-02-24
BD3mq77jANaP18VXuQPy-A,Best Buy Manchester,YoY,2018-01-01,2017-01-01,"[""Rising Star 2017-2018""]",12,3.0833333333333335,2.0833333333333335,4,1,null,2025-02-24
BGR8qyBCP7JQZb-IAoAXuQ,America's Lock And Key,YoY,2020-01-01,2019-01-01,"[""Rising Star 2019-2020""]",11,5,1,8,4,null,2025-02-24
BO9a-N3jvJyjoL524hzoSQ,Oscar's Taco Shop,YoY,2015-01-01,2014-01-01,"[""Rising Star 2014-2015""]",10,4,1,5,3,null,2025-02-24
BRJwJjDrnO4OA4MTCK3mcg,Krystal,YoY,2011-01-01,2010-01-01,"[""Rising Star 2010-2011""]",17,3.4705882352941178,1.1848739495798322,7,2.2857142857142856,null,2025-02-24
Bd9AyP3ZpE57Ed0gHwh6NA,Conicelli Honda,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",19,3.789473684210526,1.5037593984962405,14,2.2857142857142856,null,2025-02-24
BjB-ENJP5lnrun3CFAT1UQ,Jimmy's Express Carwash & Quicklube,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",16,4.375,1.375,7,3,null,2025-02-24
Bl4tLuscVLF6b7pOvqmvUA,Massage Essence,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",16,4.3125,1.3125,8,3,null,2025-02-24
BvGL0uHI5laa5hKIsnPbNQ,Inn At East Beach,YoY,2019-01-01,2018-01-01,"[""Rising Star 2018-2019""]",18,3.6666666666666665,1.2166666666666663,20,2.45,null,2025-02-24
C81SlkhHZZxhabsctJ8c8A,Maggio's,YoY,2014-01-01,2013-01-01,"[""Rising Star 2013-2014""]",22,3.5454545454545454,1.1454545454545455,20,2.4,null,2025-02-24
C9CBCZeC4fKF-d42chsj8A,The Firebird,YoY,2013-01-01,2012-01-01,"[""Rising Star 2012-2013""]",10,4.3,1.2999999999999998,7,3,null,2025-02-24
CANuOWl6Z4soWkK2_1NWcw,Deanie's Sea Food Kitchen,YoY,2021-01-01,2020-01-01,"[""Rising Star 2020-2021""]",38,3.236842105263158,1.236842105263158,23,2,null,2025-02-24
CCcrj8s2vcu7vbRFfV6ayg,Cracker Barrel Old Country Store,YoY,2016-01-01,2015-01-01,"[""Rising Star 2015-2016""]",10,3.8,1.2615384615384615,13,2.5384615384615383,null,2025-02-24
CD-Q5-FNHwzvdjLB1l0w6Q,Legacy Nails and Spa,YoY,2012-01-01,2011-01-01,"[""Rising Star 2011-2012""]",13,3.4615384615384617,2.1282051282051286,3,1.3333333333333333,null,2025-02-24
