user_id,name,yelping_since,review_count,average_stars,fans,cool,funny,useful,elite,effective_date,expiry_date,current_flag
2l0O1EI1m0yWjFo2zSt71w,Shiho,2005-07-02,2837,3.92,492,15235,9542,19237,"2006,2007,2008,2009,2010,2011",2025-02-24,null,null
RgDVC3ZUBqpEe6Y1kPhIpw,Monica,2009-02-23,1282,4.17,804,11149,10005,12640,"2009,2010,2011,2012,2013,2014,2015,2016",2025-02-24,null,null
V6PeLHJ8D1C7utl4HzjBmg,Jay,2010-01-26,371,3.45,112,1861,1129,2933,"2012,2013,2014,2015,2016,2017",2025-02-24,null,null
OmjMNG77obZOKQ59o-Tx4Q,Jenna,2008-11-16,556,3.85,31,326,248,606,"2010,2011,2012,2013,2014,2015,2016",2025-02-24,null,null
B-OVAq7aQN1aPN3NiFekTg,Robert,2007-10-04,105,3.08,4,17,17,51,,2025-02-24,null,null
LwZJFLGxQwjjeOgpqTJnfw,Lucas,2010-09-21,157,3.63,5,37,38,92,,2025-02-24,null,null
lquc6IF6uGIeRomDLu9UnA,Ron,2007-10-04,1044,3.9,241,3151,1827,6025,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
M7giQhu5iK0ESOoZi3gpfQ,Sandor,2011-03-03,5,4.5,1,2,0,2,,2025-02-24,null,null
3oDIaMM1bd7cwN0eKQv-rA,Shan,2007-06-15,187,3.81,9,131,91,313,"2008,2009,2010",2025-02-24,null,null
X7SwvRrnsZ8I3bEPGELpnQ,Jennifer,2008-01-24,666,3.28,47,470,590,1329,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
YuRfPsIME6v5qYr3GfFzrg,Eric,2011-03-18,57,3.37,2,3,3,22,,2025-02-24,null,null
mqc6fRbm5ZBBl4J3203ctQ,Alicia,2009-07-13,78,3.86,6,169,110,247,"2011,2012",2025-02-24,null,null
n8bbgZJLENE4dC4E743ukQ,Caithlin,2010-12-17,4,3.5,0,5,0,4,,2025-02-24,null,null
-TT5e-YQU9xLb1JAGCGkQw,Daniel,2008-06-01,183,3.89,11,105,88,258,"2010,2011,2012,2013",2025-02-24,null,null
q7iWal_rXNSHkHeCMMvZxQ,Stephanie,2011-06-01,500,3.95,104,1862,1433,2546,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
0juMoWXC7z4c7LgQP2s3sA,JR,2011-03-18,199,3.4,9,131,150,482,"2013,2014,2015,2016",2025-02-24,null,null
vOUs1d2gsVGDkdH7_fKgMQ,Aimee,2010-09-18,48,4.2,1,22,14,89,,2025-02-24,null,null
OJorsQjotS1dIv--IVifCA,Cindy,2011-09-25,252,3.77,18,140,140,457,"2012,2013,2014",2025-02-24,null,null
KxrKVxdXGkfMJ9XwJZzoLQ,Lisa,2008-10-16,950,3.81,35,527,368,1243,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
VHdY6oG2JPVNjihWhOooAQ,Jessica,2005-07-21,2101,4.22,2627,44899,28830,47831,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
eqS5lpxVMEzS_xaGP8NW_w,Connie,2008-02-14,265,4.2,8,261,54,475,"2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
zx2NykkcJd1vdOgoS_ZhjQ,Marek,2010-09-24,50,3.75,0,12,3,26,,2025-02-24,null,null
MRQL87mqMrLgLBNYE97ahg,Brad,2010-06-03,141,4.2,8,65,90,193,"2010,2011",2025-02-24,null,null
YJ6S9R50pE0FsSDn3Z8j2g,Rebecca,2007-06-29,111,3.74,7,123,45,205,"2008,2009,2010",2025-02-24,null,null
ov9G-Mn1XGFp6m8sFEmEng,Erin,2009-08-21,549,4.05,55,511,280,948,,2025-02-24,null,null
LbPkYMGmsu4snHkY-Ri1ww,David,2011-03-05,14,4.71,2,2,3,10,,2025-02-24,null,null
3xrb0LpbaJ24Pkdyd55U8Q,Megan,2010-04-14,54,3.8,2,58,53,103,,2025-02-24,null,null
om5ZiponkpRqUNa3pVPiRg,Andrea,2006-01-18,2811,3.97,1002,13824,9225,18545,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
K7thO1n-vZ9PFYiC7nTR2w,Yelper,2007-12-26,1554,3.68,326,8918,6580,11276,"2008,2011,2012,2013,2014",2025-02-24,null,null
lRTLBbMLzDrnuAdEVSLrqA,BJ,2009-02-05,115,3.77,2,14,18,46,,2025-02-24,null,null
asAdx4Q3cAMykgPgtQt6cg,Sylvester,2010-08-31,123,4.2,7,46,22,154,,2025-02-24,null,null
08VTr9hyJikxfimhk78jbg,Major,2010-12-01,47,3.77,1,6,18,63,,2025-02-24,null,null
c7XI431TnC9_AkmC-qrXvQ,Shawn,2008-01-08,36,3.91,2,92,67,116,,2025-02-24,null,null
8cRfVboGSLA_yc94mBwY-w,Nasilele,2009-03-26,47,4.38,3,28,14,68,,2025-02-24,null,null
PZE8NFD4XYMejKLFJm47bw,Britt,2008-05-26,38,3.85,10,88,34,106,2010,2025-02-24,null,null
uVtkixXCP7LXRpC1EedGpA,Paulina,2011-03-08,77,3.91,14,84,72,248,2013,2025-02-24,null,null
IVz8D3L33io-7Bp3NTo8Pw,Kat,2009-05-08,129,4,2,33,26,115,,2025-02-24,null,null
d9WIz0Xuh9ECkHfVmqbhIw,Jeff,2009-08-25,324,3.82,16,344,305,741,"2010,2011,2012,2013,2014,2015",2025-02-24,null,null
Y4DBgQUuecjUc7KGtWUVvA,Joanna,2006-05-23,364,3.89,56,642,562,1090,"2007,2008",2025-02-24,null,null
HmN7p502YMJGkBNv5bzi1w,Paulsegal,2008-01-04,544,3.75,19,164,218,521,,2025-02-24,null,null
8m2LgacB5VeP_1Mn5ZMC4w,Alan,2011-01-20,4,2.67,0,0,0,1,,2025-02-24,null,null
MvOXPiqRr9IjqVtwC5mUNA,Jessica,2010-08-01,111,3.77,10,119,91,286,"2012,2013",2025-02-24,null,null
PrJ37Ik9DxritxGPqI9ktw,David,2011-05-05,85,3.43,4,22,26,75,,2025-02-24,null,null
dHLL7SVGJw5uM6IEp_wb4Q,Constance,2010-07-30,538,3.5,23,359,357,694,"2010,2011,2012,2013",2025-02-24,null,null
UQFE3BT1rsIYrcDvu_XVow,Mike,2005-07-22,1560,4.17,122,1410,1288,2385,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
hSMVQ7MSh6B0OgPxFQFO8g,Reena,2009-01-25,920,3.95,88,1415,729,2377,"2009,2010,2011,2012,2013,2014",2025-02-24,null,null
MPQ5-SkAcPW5_uLn-7_jCw,Jocelyn,2009-03-16,24,4.16,2,16,4,49,,2025-02-24,null,null
jh-yu1Ap3TAwDS1ko6eqhg,Matt,2010-08-24,27,4.11,1,22,13,37,,2025-02-24,null,null
jVYzrVblDFSuL3GHtt8ZSA,Crystal,2008-10-24,1030,3.99,364,3909,3345,5300,"2009,2010,2011,2012",2025-02-24,null,null
w-zD8Ln3XZszM82AfVrspg,Robin,2008-05-05,90,4.11,5,66,36,137,2010,2025-02-24,null,null
3zxy3LVBV3ttxoYbY4rQ8A,Farrah,2008-05-12,2073,3.95,2073,17603,11667,27350,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
bF2xmRxR_eyJ-HRs-ClOmw,Calysta,2009-07-16,159,3.53,6,145,194,255,"2009,2010,2011",2025-02-24,null,null
qqOcmpUctU-Zn_DxhgW-Vw,Camille,2008-02-02,502,3.55,55,713,347,1233,"2008,2009,2010,2011,2012,2015,2016,2017,2018,2019",2025-02-24,null,null
Axd4L6VSBZ6QkHtqJAeCaw,Amanda,2008-05-03,283,3.62,41,486,177,741,"2009,2010,2011,2012,2013,2014",2025-02-24,null,null
KrIL3TIOJI-tjvU6BlcA-g,Elisabeth,2010-06-17,141,4.22,18,83,58,225,"2011,2012",2025-02-24,null,null
2mdlIKeLV04q_wcPqNvRWA,B,2008-07-13,172,3.03,8,198,393,267,"2008,2009",2025-02-24,null,null
I7YQFiIsO82eliq8nqsLfA,Michelle,2010-04-26,885,3.84,50,767,485,2501,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
yOwqfhtwO6q-6gzEhL1meg,Jameson,2009-06-14,9,3.2,3,33,24,48,,2025-02-24,null,null
NF7_K38Hc6G4R3hvEhT0dw,Jake,2007-09-29,209,2.91,5,53,83,210,,2025-02-24,null,null
FlhZYUEhfpfm0Ynxacftwg,Kate,2010-07-18,94,4.1,6,80,166,124,,2025-02-24,null,null
l4F2AnWqg3AibuQBN-tYcA,Andrea,2011-05-03,12,3.42,1,2,4,13,,2025-02-24,null,null
gRL9s6ENxV1qermRYDWjPQ,Moira,2010-08-18,182,3.8,12,271,146,573,"2012,2013,2014,2015",2025-02-24,null,null
0G-QF457q_0Z_jKqh6xWiA,Joi,2008-03-12,2009,4.1,944,20385,14049,27137,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
1_pwoHx0CjDwfSAI7jRpzQ,Lauren,2008-09-12,205,3.64,27,289,435,423,2009,2025-02-24,null,null
JhBHocI4yDmi2fus7UbKRw,Shells,2009-08-06,20,3.7,2,3,4,13,,2025-02-24,null,null
DgsKBCbBqbFv6dCO_czBIg,Laura,2008-04-23,43,3.3,0,14,24,134,,2025-02-24,null,null
ACkFmmPuBT6rsJ_yxA1DaQ,Stephanie,2009-03-06,72,3.95,7,38,35,79,,2025-02-24,null,null
MCcz4FmJQaqnIv6pzeS1VQ,Maribel,2009-01-05,483,3.27,41,1467,1265,2036,"2010,2011,2012",2025-02-24,null,null
2aYKApNwS5gi1XS_V6qYJg,Carmen,2008-05-15,296,3.5,22,120,113,628,"2009,2010,2012,2013,2014,2015,2016",2025-02-24,null,null
6GHPzEmQNTjC7E3P9VF44w,Rachel,2008-06-04,394,3.71,22,425,416,787,"2008,2009,2010,2011,2012,2013,2014,2015",2025-02-24,null,null
xwLpDq-rYnyObtBZCD0Wgg,Ellie,2009-02-26,191,3.51,7,70,71,281,"2017,2018,2019,20,20,2021",2025-02-24,null,null
6aJNIB8yGHDiwrzyxlExRw,J.,2009-07-22,629,3.82,15,141,133,739,,2025-02-24,null,null
CxpPcC2NCCAj_eXykAFCnA,Barbara,2007-02-04,76,3.66,6,99,15,82,"2007,2008",2025-02-24,null,null
xReXrRlxECFpHSS9F5hBCQ,Jon,2010-07-29,34,4.83,0,1,1,9,,2025-02-24,null,null
GPKYStqHcKtNYVLy2PvgoQ,Nick,2009-04-01,80,4.25,3,60,34,178,,2025-02-24,null,null
sHwBXS0trP0CC_f5K_11VA,Tai,2009-07-09,823,3.77,83,2342,2196,2913,"2010,2011,2012,2013,2014,2015",2025-02-24,null,null
C0hNXqJZJuly7et8sSvSAQ,Michael,2008-02-07,69,3.63,16,176,172,220,,2025-02-24,null,null
IxkpteGXdi41e_WuyDxlww,Anthony,2009-01-04,26,4.19,0,9,2,23,,2025-02-24,null,null
rwamCBmlGdcdcyRoUcC4kQ,Jim,2011-01-27,3,4.67,0,2,1,0,,2025-02-24,null,null
A5UnAt6EYlDh2PPMpAHV_w,Sarah,2010-01-26,10,3.9,2,13,5,26,,2025-02-24,null,null
lNPRvk3WRgsJb-UEJ0J40g,Matty,2008-03-21,72,4.07,7,139,141,151,2009,2025-02-24,null,null
ITa3vh5ERI90G_WP4SmGUQ,Peter,2008-05-06,3193,4.01,2388,35149,48231,45810,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
582iTyqKkoHeBFPMJuQEJw,Chris,2006-12-21,319,3.88,29,437,425,667,"2007,2008,2009,2010,2011,2012,2013,2014",2025-02-24,null,null
iEONL-v4W46yliYsovCP_g,Dan,2007-09-24,947,3.65,89,2159,887,4028,"2007,2008,2009,2010,2011,2012",2025-02-24,null,null
nDPpFNHBId4o5kjKLpubJg,Lizzie,2009-05-17,39,4.19,2,11,17,71,,2025-02-24,null,null
g_HiAtI7YBc9rpEhm4qvYg,Sarah,2008-02-28,136,4.2,9,44,29,140,"2009,2010,2011,2012",2025-02-24,null,null
DEbiQnC6NsTkddrOm3SF6Q,The,2008-02-28,162,2.95,3,30,49,220,,2025-02-24,null,null
2Od6rQYNvPUXQC2Go7vIqg,Catherine,2007-08-22,986,3.63,21,223,105,628,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
_SmK7sPegNCXH-oYR7503A,Jen,2006-01-18,147,3.75,13,75,43,178,,2025-02-24,null,null
2q6LXB2ZR9LiAk0Ltww-Gw,Kristi,2011-03-19,11,3.45,0,0,4,30,,2025-02-24,null,null
8zkkuk8KOoNojZhTx0j5KA,Melissa,2010-02-05,159,3.67,11,77,51,256,"2012,2013,2014",2025-02-24,null,null
ZhK2xIa4f73JZfua7IP8vA,Steve,2010-01-19,690,3.64,48,378,425,959,"2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
4iX1eeMV0VQa7SlN6UXJOw,Matthew,2011-02-17,69,3.79,1,5,14,60,,2025-02-24,null,null
Q5jOFJYhIsN8ouJ1rnsLQQ,Matthew,2006-06-21,593,3.79,36,502,307,1216,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",2025-02-24,null,null
N_mkNFTiBCw2bbF_TJY9Ug,Ale,2007-06-06,41,3.99,2,26,18,78,"2010,2011,2012,2013,2014",2025-02-24,null,null
IPzVg0wE9EW2_VfJI0Uzgg,Pat,2006-01-04,449,3.82,10,204,136,510,"2006,2007",2025-02-24,null,null
P3SCIo2ExYs2-eehTNSv4Q,Noah,2009-12-01,74,3.72,8,224,229,329,"2011,2012",2025-02-24,null,null
P5bUL3Engv-2z6kKohB6qQ,Kim,2006-05-31,9941,3.81,825,21375,10772,27549,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
VpREWOjt5Pna6OIgXI9Jcg,Tara,2007-10-25,327,3.78,101,1899,1436,2000,"2008,2009,2010,2011,2012,2013",2025-02-24,null,null
ukCAVNbolx0_gaAkDYZnEA,Trish,2006-11-05,759,3.7,70,1843,2156,2485,"2007,2008,2009,2010,2011",2025-02-24,null,null
qF1V8GyuLL5Fpv40Cyturw,Jacob,2009-10-26,228,3.71,13,183,58,453,"2010,2011",2025-02-24,null,null
clirF7pph8EPEoMtvrcj0w,Lauren,2009-08-04,373,4.2,34,375,279,708,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
bQ_qlqlZRFgfRlqveB-ILg,Rachel,2010-06-30,585,3.92,39,281,196,866,"2010,2011,2012,2013,2014",2025-02-24,null,null
PadmV2GEoA6mWpQUpPh7Ig,Monica,2006-11-08,695,3.82,104,861,951,1559,"2010,2011,2012,2013,2014,2015",2025-02-24,null,null
ouODopBKF3AqfCkuQEnrDg,Danan,2010-04-09,2108,3.57,134,2850,1110,4527,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
M74ZUoNHNOcQp1jJLlt3jA,Vivian Eri,2011-08-06,17,4.24,0,2,2,11,,2025-02-24,null,null
CDjeQhhH7ZoSKBDQ5_O3ag,Dave,2006-08-15,391,3.89,39,544,233,1174,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
-RApyq06DMBii7ovXtQnfw,Garen,2010-07-13,1000,3.66,87,829,644,1821,"2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
XvL3WrRN0_3hw0P5tO0J1Q,Peteen,2007-05-07,557,4.14,79,1812,2234,2002,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017",2025-02-24,null,null
bCsS9EJOBTIxRGiqixB5rw,Tiffany,2010-10-14,46,3.08,1,19,26,69,,2025-02-24,null,null
8Akq8sh1LSmJbqa6Jjxxqg,Todd,2009-01-15,376,3.5,41,639,723,1373,"2010,2011,2012,2013,2014",2025-02-24,null,null
YMgZqBUAddmFErxLtCfK_w,Samantha,2009-03-16,1985,3.65,186,4159,2438,6485,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
SSp_Idg6Ge-Lb6T99kgKSA,Michael,2012-01-30,5,5,0,6,5,13,,2025-02-24,null,null
R67_W_HXmsO-bd872AKw8Q,Olin,2010-07-05,651,3.02,22,154,246,599,,2025-02-24,null,null
Jw4OHr6HibJeEIMfAxc1_Q,Judy,2009-01-04,707,3.65,41,643,314,1064,"2010,2013,2014,2015,2016,2017,2018",2025-02-24,null,null
iaDFNFfwwVmc_v3k3_cU1A,Felicia,2009-02-18,275,3.45,17,125,96,265,2015,2025-02-24,null,null
xHzU9LKwxGHq7BNPA16gog,Bill,2010-11-16,48,3.17,16,133,359,207,,2025-02-24,null,null
gYDFiPYFCeY52vvMvvy5Pw,Jamie,2009-08-27,193,4.03,18,178,120,411,"2010,2011,2012,2013,2014",2025-02-24,null,null
0kSXMbNFo7mdwTPj4iQv9A,Archie,2008-11-25,1022,2.98,319,11590,14383,13103,"2009,2010",2025-02-24,null,null
HzoQKKHDq9BI37dyJAAtGA,Jim,2010-03-15,1145,3.67,109,1741,1022,2765,"2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
627ihUMdDCxyXw1mOj1MVA,Jackie,2007-08-10,366,3.95,63,1141,898,1484,"2009,2010,2011,2012",2025-02-24,null,null
oW2bCSJ5bIHyRnoZvkHwDg,Uncle Fishbits Aeneas,2006-07-13,1680,4.14,158,3278,2741,4128,,2025-02-24,null,null
8DqQqPnWLMllH2Dd0bETtQ,Chris,2008-01-11,363,3.89,48,1776,1416,2012,"2008,2009,2010,2011",2025-02-24,null,null
JC99U5y-KAchZIjBhf_DiQ,Vanessa,2009-10-21,1186,3.67,45,533,419,1023,"2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
1ziEzn7BoXTfOQ4YBkdz1Q,Christine,2008-05-07,703,3.81,53,699,430,1577,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
n0Qbz7LaA0r46x-N2gPXxQ,P,2008-09-05,32,3.6,0,11,13,54,,2025-02-24,null,null
q-kq52Hm8a5ajWJ_dUlOoA,Minji,2010-07-16,2,1,0,2,1,8,,2025-02-24,null,null
qA3AGHIFaNyEd1PRX3QWRg,Mell,2009-05-27,105,3.46,10,100,104,209,"2010,2011,2012",2025-02-24,null,null
cCwig3OI04K4HdOIXpnl_A,Jennifer,2006-04-03,684,3.9,76,987,892,1646,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2025-02-24,null,null
nomP8UcTgKjO6Yu2cLkr3g,Felix,2011-02-08,5,4.2,0,1,0,7,,2025-02-24,null,null
0GNqPGZNPNoTcJ1PFJrexw,Brendan,2009-03-10,25,4.28,1,12,11,21,,2025-02-24,null,null
sAb47uEcSjK3uQcylhkhPw,Deana,2009-07-23,920,3.65,59,1530,1352,2158,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,20,20,2021",2025-02-24,null,null
IjRVv6v8VHqZMoFhmRrXBA,john,2008-03-24,68,2.55,2,52,55,323,,2025-02-24,null,null
p1pg5NleZVUO_hcOgiNMmA,Kim,2008-09-03,24,3.69,2,10,27,23,,2025-02-24,null,null
Cy9TCWiOHFvCAl3xiC5vHg,Terry,2009-08-13,36,4.41,2,11,10,46,,2025-02-24,null,null
gjxv-7WqYy_aK1ZAUreBFg,Dailoc,2010-10-28,62,4.13,4,41,21,90,2013,2025-02-24,null,null
