business_id,checkin_date
-0PN_KFPtbnLQZEeb23XiA,2011-02-23
-0TffRSXXIlBYVbb5AwfTg,2013-05-31
-0Ym1Wg3bXd_TDz8JtvOQg,2018-06-09
-0YvX6VK5S0u_hbQFYq10g,2016-01-25
-0__F9fnKt8uioCKztF5Ww,2016-06-22
-0dKgi_Hpcis921nOpM85Q,2011-11-12
-0eUa8TsXFFy0FCxHYmrjg,2015-09-25
-0epFLgYq2C1Jo_W4FOBKw,2011-08-04
-0fOUV_llBAPMo7exZFHPA,2013-11-02
-0fvhILrC9UsQ6gLNpZlTQ,2018-05-26
-0gRYq5UjMtZbELj0KHxzA,2016-06-13
-0gWtMKg8_iV6vC5wRFDiA,2011-10-18
-0hxpkIpBh2T0tvdM1mSIw,2010-11-09
-0i2KNr7WrCsDF5m0IViJg,2010-03-25
-0iIxySkp97WNlwK66OGWg,2015-07-01
-0jK77zdE3-plqXuwXtilQ,2016-03-19
-0jzoPt3UeXn6FUXVQvyPg,2018-10-28
-0kH3RmIVq-OhpuWAuU59w,2010-10-04
-0ltw8--HLuulPyOSspqAQ,2010-08-29
-0m4IwD1FIOqkA8dh4mVfQ,2018-05-07
-0oPt7sSKtJG1ysLwV_E9g,2013-12-07
-0qOecqGXEf_6TwaiX9E5A,2011-06-13
-0x-MbRbsi9YoPxB873qcw,2013-04-20
-0yr__Vo4hOCZwvzRWd1zA,2011-09-19
-1-8eimDEnS9fezJNZkQkQ,2020-05-23
-12_gQ7NRcMWSRs97mRQdw,2017-02-15
-16EH6b1ho0xQqP0Bzm9Mg,2015-01-25
-18_wKpOm836Z6snHOm9KQ,2014-03-26
-1B9pP_CrRBJYPICE5WbRA,2012-07-19
-1Bvqy9wtFDyUB8GuDqQQw,2012-03-04
-1DxQ1CxSc_JCxzKm9bglg,2012-03-16
-1EGqUQFBmGEp76CE-Zk4Q,2019-01-13
-1HV4mcg_qK_crhySfBycQ,2011-02-18
-1K1J_D9eT2dR6BNvQ2Tnw,2010-10-19
-1MhPXk1FglglUAmuPLIGg,2010-02-18
-1OSMXiFyvq6VW4Y7UpjvQ,2010-07-16
-1PG6k_iezwJmRZLB7f6og,2017-10-13
-1PvWminK3Er7fqpTjk19A,2015-02-21
-1VF4NdEN07IB8nePQbAqQ,2012-11-24
-1WM2044r3jVZC6oQ2QeVA,2015-02-07
-1XSzguS6XLN-V6MVZMg2A,2015-12-12
-1YvpVvnnLrTZ0zjtUYPXA,2020-12-16
-1b2kNOowsPrPpBOK4lNkQ,2017-09-16
-1b7CQbbl_3uotcTsxhHsw,2011-04-21
-1dARtemb2Gy7XlftvtNXQ,2014-02-17
-1g8Qb6t_mSX_ak1thMmrQ,2018-10-14
-1hvq_mL4GSEwKE7z8xYug,2013-04-23
-1iLbEf1NwY-OJp5Hg-3Sg,2017-06-08
-1m7-ZxGRVRdKa4tFB4eDg,2014-10-17
-1owBLC2h6DF5n_j77oq3g,2013-11-01
-1oygVebK81K8JEPI6H6Lw,2011-10-17
-1q9ktAQXpgFSNrst7tzag,2012-03-02
-1ueCbvIpUPi8KT95ETTKw,2010-11-09
-1w9JMktu9oWTXwNqtZQoA,2018-08-04
-1wnOZFsvsJPEXh_hWcmMA,2021-07-11
-1yftDfgOUlxe_IACM5PFg,2012-10-21
-1ygry5D2oOt_vch4rjMuA,2015-05-12
-1yt2mk60wWuQz9hPVKZCA,2013-09-28
-1zRvh3yjKAa2eYggRKbuw,2011-06-06
-1ze-oWDnrGAzvAg56QXUA,2019-12-24
-2-ih3mE8KPyeKVIzpBfPQ,2016-06-22
-24TYSeA5yK8oH7hfJkZ0g,2013-11-16
-26oP1-VaPjz7Ed-Lvd7uA,2010-10-17
-2Axhv9AZ_n7qjQefECpVw,2015-06-10
-2BDt9OdGiBONysWCdKgNg,2010-10-25
-2CPhK6ik9ZBgFX_F-dkxQ,2012-06-02
-2EjCEt-F3UP5mGf-k-u9Q,2018-06-01
-2HaAaQODTx0sr2srL553Q,2011-05-19
-2ITCGoCJBeCgt-oWyw6Lw,2011-06-04
-2KK9cqa26KZ1xrfOm9A7w,2010-12-19
-2PzCCRmUICl0lTrF8ih8w,2011-04-03
-2Rr5lt1yC5o-Lo3SAIFNQ,2011-06-10
-2Tm0VU-tcatBp-SCZsuZg,2011-03-23
-2UbmgSYMlg88sU7cUWGAQ,2017-08-31
-2VYztMXVorktljCdQNPmQ,2011-09-23
-2WAq2pOLnc4__lPy6kvoQ,2019-11-21
-2XADB6qHuwPCZm3_01BMg,2012-04-17
-2YMhP8_C663edoASI8X4A,2019-09-12
-2YZIUArmrIMVVBi8CT47w,2010-06-27
-2aGyAUenQEZWAtNUnMHzg,2010-02-10
-2bLM6nIETD4Mk-rhjIYZQ,2012-05-23
-2b_gje4mdlWNdwUQDJTXA,2010-06-28
-2dvQxx3cYXd5XmFdDDsDA,2018-01-17
-2gDGXUYPigcPbMIDg2eTg,2011-09-27
-2gmbMDzKgYZ_8DOnJtPyw,2010-03-21
-2j8XqQL68DPqYiafH9JXg,2019-05-20
-2jMDMFbmR3JVD-vJUk3Aw,2021-12-07
-2kVXSZJsZCi3edaIU4AkA,2012-12-17
-2ke_JDOpgTZWqirMFjZcw,2013-05-19
-2mctVTqFR5-DDCXKvMNPA,2011-09-23
-2n5fuaYO2TeuMR0Ey6Zmw,2019-07-29
-2oyyfOSHs1UElr3Dc1aKQ,2010-09-04
-2slH9PUjJ9YK16b0hGxWg,2011-08-19
-2vEnMoexef2-rWy-FMWvw,2013-05-06
-2vZHP5Ej9FroxJo8qYJXA,2017-09-01
-2wQyRfXPZ6CGYUo9BxuYg,2013-10-12
-2wh7NTLkWEgsrLJvilnFQ,2020-05-17
-2xzyHY8uWnLmyQkkfwMuQ,2011-02-13
-3-6BB10tIWNKGEF0Es2BA,2020-09-09
-32hOCwsuKd04WO-HQyYFg,2010-05-09
-34c4hcDPIInTROr8Xtxtw,2019-11-09
-361Hc0tlxSYdrH_C3OgzA,2011-11-20
-3725FZiIIYdwQtM4MKEIA,2016-08-17
-3AooxIkg38UyUdlz5oXdw,2010-06-24
-3ArWZfDjfab8qVHf3WVtg,2012-12-24
-3GD07waps96fB_okEwFqw,2011-03-05
-3GcUoawZjkX1Zq7zJhe_A,2013-03-14
-3IOd5YntpkbK6RwT3HYtA,2010-01-29
-3JFWNwRzoZyncPHyc6p2Q,2017-06-24
-3LGekWQ5iHMQO1a9_DDbw,2010-11-28
-3Mc8R5c23FxrxlJn3ivww,2014-01-18
-3RAlmeDN3H0Qkv8flguwg,2012-06-04
-3Xl8nSBSjaPpftsSNyrgg,2011-03-26
-3YTjk_J0pmtcnaqrI-tAA,2010-08-24
-3dkEoYgH8AlUtBMZvzUfg,2011-05-09
-3e1QV2EBGgnvO-JiQaKfg,2010-08-05
-3e3CP3FFc-rvJj_-_airw,2010-07-02
-3hzdvAPJKolEru6xywWyg,2014-04-21
-3k7-21VyAT9dfuvIuzz_w,2010-07-12
-3kTgLg2lUr2PBaokvcnmQ,2013-01-02
-3m_nXlyvdKAVNNmVirpGQ,2011-01-08
-3trysUGJcygCRYpx8TIpA,2010-09-03
-3vApQP60bigh7FGBZCQng,2012-12-27
-3w58iNJL_sZuT0Ozpz0yQ,2020-01-27
-3xX_IfttKjPJ792BOBJ-Q,2010-07-10
-3yc7i3bvTHv1Zig2rXrSg,2010-11-29
-40qQXB8JsneSiDqXMjoeg,2012-02-15
-42jRI5dhpbubYReeXPK2A,2015-08-25
-44U8OogWPPQk9NA6NZDqw,2011-08-04
-45_EStChJEWNJW_F83Yxw,2010-12-18
-46lOITML86TZkk2fErq6A,2011-05-13
-49YlJ2GGzgmQ71FX9gGyg,2012-07-19
-4BvvVmFUNuUBQEL_3-zwA,2013-06-25
-4E0hSCldRJZLI-1cT38Sw,2011-11-26
-4G38D90ZA4cmU95nRIjLQ,2017-10-02
-4HMjEGQgduIMMTe0WPQBA,2010-02-13
-4HTX6yWNuRJusCTezaUnQ,2013-05-24
-4I0u12gYWIToYmdeyxpeQ,2010-07-08
-4IoP43clvfZPjRlXu2LLA,2011-09-10
-4Iyrz-VY4a8eHpe_aiBaw,2011-05-02
-4J6iW94f7qhnwmp4Z9bdg,2014-07-07
-4N4YEobjG89VQsEgqZshg,2020-10-09
-4Oq1x-gU3nehb8ETuwRvQ,2012-11-26
-4UMCvj8E1PYseKhNfdoug,2015-11-17
-4UxcA0lUfURC-4pNsPRcg,2011-10-12
-4VQum5gCgEfSZcFycmAHw,2017-04-21
-4VeLIjYt2nTqekzb9AFGw,2015-02-05
-4VqKKSV3cT9Mjs7HYxMOw,2012-01-01
-4YFpu0_j69JJ6tXIwVLQw,2010-09-26
-4bCujgnMeYCu5RSmy0xPQ,2017-09-09
-4dYswJy7SPcbcERvitmIg,2010-10-11
-4gHyiiX6NKNqQ0DO8QhwQ,2019-05-05
-4jxTEaNONDDsC0Xzzp1UQ,2011-04-18
-4mDMBfT6N0d-VIUTKVaLg,2010-04-13
-4qgeqxb2hKe3dUUH__j8Q,2010-05-10
-4sfzbT4ok5gSzqsng3jig,2015-03-04
-4wykApCGL78JzWYICOQzw,2012-07-11
-4x3pVUUsfWmKEilWKsOZQ,2014-04-27
-4yNkadymIchAHauib7aog,2016-04-08
-4zs319riVyTXS9TkvGFHQ,2016-01-12
-4zwfrKm21Rf89pTJRhG9w,2014-07-01
-53z4kzdbB9F4kPQqmQjyg,2014-11-03
-54atFVRfQrMja7avLXSQw,2019-02-20
-5DcSecinHF2snC4eLv8WA,2011-02-12
-5HAZGNFs5-MkwT1iwROkQ,2011-11-09
-5JHievRko1tWNED4IdeDQ,2011-05-01
-5LzSdkohuiRPOLi0GGCJQ,2014-07-05
-5Rah4ZvWsDu4oilUZxhtw,2010-01-23
-5SVdM5aY3rjGsQuiFAYjQ,2010-07-16
-5UQGwUZWUhPi5pJlcwEYA,2010-03-28
-5Xfp4_pojZjGgOevX4iiw,2012-05-04
-5aEZS_W261Dc8-Hzw5OOA,2011-01-28
-5fXJjU1oeWnCHW5MPOuxg,2011-05-15
-5ink0kIoVfuS5Zi_6QBnQ,2012-08-07
-5iuX3tPbwH5LpoWN9QhMQ,2011-09-28
-5ivHc7R7F_fHxTtxGvlgA,2017-07-20
-5jHKFePOVSVyrbh13DHnw,2019-11-11
-5jh7Rgm_jP2SclLrZG80A,2011-01-05
-5jrKrVFNFBuT6OKHme7WQ,2010-05-14
-5jrwZnndGs9q3akdkJYJA,2011-05-22
-5ktM-ceWcU7fU9op35rpg,2012-09-03
-5lDiH8QCNr-MEc_o5XzLQ,2011-12-17
-5psHqEISccHDdHaWF2-6Q,2014-12-10
-5uzjjKUA-kt81j605d5Jg,2010-11-30
-63k_0GxwhakB6vY7eNVYg,2014-05-06
-63ytt5vkWof-M9NDGTkng,2014-12-13
-66jJ8Hl0vLV5PMxySNbXA,2011-04-23
-6AjXJIUlbGSUohUzg9-iA,2014-09-24
-6E_cla4lotruNasIsCkxQ,2012-01-05
-6IYoO1HinZdQOHIsR_s6Q,2011-02-10
-6JdVK-DHB4_43PEksbg1A,2012-08-26
-6KL5N_AdaZnw3W1HHtEtA,2015-01-19
-6L7ckMsebhvS_nk4wjhIA,2016-02-27
-6L_z3ftD1iepJb0FfJghw,2012-01-10
-6MEKOmFu6jckT3pruSxHg,2010-06-14
-6OjnX3ZdDOhHxWR60wysg,2012-03-29
-6RKk3sSh-PWB8VBfy4KnQ,2014-10-25
-6TttC-1-rf5gC0QHWrs_w,2010-08-21
-6bmADDPKp0HrT2wqAMjQw,2015-08-22
-6bmqSTgHUAJ2QTAn4tciQ,2012-02-03
-6bu2SPTnFfgpk9ReLWmXw,2013-04-18
-6eBL83GDj45MpRmiMN-FQ,2013-08-20
-6eomXaFuOSKPsUbk2A3xQ,2010-10-27
-6jVwUuXC1-dyr2YRCEU6Q,2013-10-10
-6jvfSJGprbfBD2QrS9zQw,2010-04-25
-6jzxuJfK40kKNh9bZ4lfg,2015-02-28
-6kIZWnXPuDC6JiQJ-A1fg,2010-02-13
-6kNhGurAbdNQanqbAaoMg,2011-12-03
-6mXhSbA_u1ofHiaNnplEQ,2011-12-03
-6nQZ-QCkAyNHdtaxOxDpQ,2016-07-31
-6nqH2tdNHQdqb8LvILlBw,2010-09-09
-6osFx4NgFRHJ5NXqpHV6g,2012-09-16
-6qt8a52bBwMogqwZsooOA,2021-06-11
-6vtoe3VFedMGouTFnlnDQ,2010-10-21
-6xTyv4rDlroQJBoww7y1w,2016-07-28
-6xYpkvG91ClVz31JjhJCA,2010-03-27
-7-VQmEgowG9o8u9qMv_aw,2020-12-21
-70_fKY04n-BJbItDIclVg,2014-08-04
-70gmot_C918Aw_1_l5yeg,2013-06-13
-75oKRpwa1VEHOLXBFJ2Cw,2010-11-16
-788YqeAedOZseDJOo7kfQ,2012-09-19
-78Va3llKcPbL6SW4is8lw,2015-09-12
-7AGjO0qnOld_GZK9dNNkQ,2011-06-18
-7BCcSWikq0TAyViUFTUIQ,2011-03-01
-7CYsFW13luajJHsl73bkg,2013-06-24
-7CqBmK0zxwyjEqa3LBVSw,2010-07-28
-7DvdvlUs5fHfSITPbvjgg,2010-07-11
-7EkoApGOHg7_IpPIsGUIg,2013-10-31
-7GDqSUaXrpC8Ql7nDBxWA,2016-12-10
-7GjicSH_rM8JeZGCXGcUg,2011-01-04
-7JjlPR9OiU_bAYXdi-Vbg,2012-12-14
-7KAng29RoHr87mvOFbK9w,2012-06-24
-7KnD-G4ZYi7-Xs4ZJAYWQ,2011-03-20
-7KyK-QIAjFicDhpifwbPw,2010-08-24
-7QQMtX29fF6Lkf7lW-KDA,2016-01-13
-7Rx5jVeQmlVoAU_oXrzew,2010-07-27
-7SlRxSWoLDB5YaYlcNpSg,2016-10-25
-7TLTTVEq-huVr_SyCPywg,2014-10-27
-7UDKbg_8TL4LVuYR6Ooyw,2010-11-11
-7X-bU-zaD_h6k6FOyve6Q,2019-09-04
-7ZTpN4KmfWotnu4rVV-FA,2012-05-07
-7_R1BNUukbvb97OMNmxnA,2010-09-07
-7_Wl2UGiuA7I5Lh0lzdRg,2011-10-24
-7aDp7JsogemWTKOuZdNTw,2011-01-28
-7cNgs6N105MDlLjOudObg,2011-08-03
-7ezd9LpmVkow-eSUHIG9A,2010-11-19
-7flYoBLv8jVcFZx7onsSg,2011-05-10
-7iiapq3BMer7eW-NRXd2w,2014-12-14
-7kN5J6yiT3sZbsiDHquPA,2013-02-25
-7oegtOMeB8Cr5gWZUe50A,2012-09-23
-7pCvqW8TFs9nBEwlwqNcQ,2011-09-19
-7q7v1jepdduhzJZjpB91A,2014-03-09
-7qO7OvcQS7t6v6uHxDAxw,2011-02-18
-7sP9Iyk6XfXRawkcmwEng,2011-01-10
-7wXZWnKe26iwJY_5z_AAw,2019-02-09
-7zjvc_b1pX4TtM1q98aKw,2011-06-13
-8-8mbxQEpZx8Zs_nrzljA,2018-01-18
-81BXpO5Fuk-RqCabS7LMw,2016-02-07
-82x1eWBVWsPhNd1JGQdnA,2013-08-03
-84DrMt8DHK8S5dyvZg7tQ,2020-09-30
-8562lttAp_PuLWpQXDdhA,2015-05-03
-85Q5Uf_61afGuBERTY_pg,2016-03-27
-85kJMtb9wqNWDT8yLbitw,2010-09-05
-86Z04IBKxhEQ17rCOkn8g,2012-06-02
-86lWqykjlPF2MBrHRFcCw,2014-04-20
-8B29WNRCyg4jViK4ChKlQ,2011-02-03
-8NGFqFrlOmWawr827tZNg,2010-03-30
-8QRV-C80eFO6m058-PK4A,2011-03-26
-8TVh4eZmbVV2N7GQUczjA,2016-01-01
-8VorrmybR_HLw9T2ecr7Q,2011-09-14
-8VpP01AKfnt4wpT-8vgnQ,2010-06-16
-8_ufROuDzIWxFAny4FasQ,2018-08-18
-8dM09lp35K28Qn8oaZPdA,2016-10-19
-8eEiP4nYZAifQH46OGf4A,2013-09-14
-8gGD85_jZvapnmb3EvU3w,2010-12-04
-8i0zI-qgc0lSWEYqOk72g,2011-12-30
-8iATYRnN46Km0_-ldx6cg,2012-03-22
-8iCLoNY2Q52qWdGSZoDmQ,2013-03-30
-8iiwnBs4yu4s1yLkWzU9Q,2010-06-29
-8jIGHKz1-Tnv2X85kxbvQ,2011-02-14
-8k9XXq_rfeq47JnRlBD4Q,2020-11-11
-8lppXgxF5o0_F0cu-dXRA,2011-04-17
-8luB5pJ7d9UOoiF7wikkw,2010-11-10
-8oIIpYJAXWg-G3glapMmQ,2016-12-17
-8tgRo69d_3WC-s1Rk2DUw,2014-07-04
-8uatt4iWxUproNMOd1srw,2011-02-18
-8wGpH3gYkwHKLcpc78CcA,2010-07-22
-8wbH-eTreeURPGDJZu1OQ,2017-10-29
-8wxCs5UMpo5vkutnwHmbA,2010-08-23
-8xqG21DUzav7yIp5lS6jw,2011-02-15
-8z1z-kYVvFFT4HUVSV-lA,2011-05-19
-97632CUoOkJ8x4AlkPJxQ,2014-07-18
-981bIUN3Qt27CVwN46h1Q,2012-03-30
-99CauTgdResVER5NvRTfw,2012-05-30
-99aS7t1izJrDtgSUyvoxg,2010-11-11
-9CvbWc-vPYsoioAgZii4Q,2010-07-31
-9Kxik9BRNkft5rPcVvSsw,2010-09-26
-9NmUeTphyS9Lq1o9MACGw,2010-02-26
-9Q5Z8H1-Z1ZcO7L4nWwHw,2013-09-02
-9QWlFM3KH0DBS1wiHZJXA,2010-12-01
-9RA-XPA9K3uz5TCf8XLZQ,2018-08-25
-9WXuHHFaFx5yGjkO67pDQ,2016-02-11
-9ZNA22YhFlvTdLDYjvNdA,2010-04-27
-9ZRs13H1dM5a6lgv0iRdA,2012-07-05
-9_F6sRmPdlbQ2n6n1whAg,2018-06-24
-9_jMKS_-tk8mDd340CjTA,2017-09-05
-9h2RsUE0-KEvfxyHcsWHQ,2012-04-15
-9i8lr1vxnoYrV_cmFkraQ,2018-11-20
-9iuQyJy5ABOsyRd8nCy7w,2011-12-18
-9kg8ne9Nmw_6BbFqurAxA,2014-02-11
-9lL4yFBX_7XVqUr8cwytg,2010-05-04
-9n0NDe_pP1ZnrWr-lsDXQ,2013-02-15
-9r8nAzWyRSLxBWt8uQOdA,2012-11-01
-9rRsa_9GTkSYkPdKa7T8A,2010-06-19
-9rlT26zg4gTp2WBP3Yu4Q,2011-03-28
-9sGD5Fi-DVwR6BsBAtu0w,2017-09-24
-9u2TuWejgRDt-u-j1_bOQ,2019-04-28
-9w_8PChjtA42yGN4yoDRw,2010-04-03
-9yzQQ0d_rcOD2CzdTNO_Q,2010-08-31
-9zDI4h2dE3hFOpGFHB10Q,2019-10-20
-A-5spZpPMjujSnG-Oag7w,2010-07-23
-A-_4uZO5f8dRoChKhqobg,2019-10-02
-A0yoO3geGTdQsCvafBHpA,2015-03-28
-A10ZTqT4X49cneKlxXTcw,2010-03-17
-A2OLubXDsMRPNN7LqohPA,2014-04-03
-A5MmVqvwTjGjgYzZBbqIw,2010-06-26
-A64OWEh5bDXvzbkN4cFfg,2015-07-04
-A7I5CQcKkxH_CUyG3PVQA,2014-02-26
-AAODDlBwYz3Hcc5NpdN2Q,2011-12-27
-ALqLSTzkGDMscHdxA1NgA,2010-09-25
-AMPRbkJZJcyIH_IuEreDg,2017-12-02
-AMeu_LMyFPTsa94IwvS4w,2011-04-02
-AOtXkmNAMtx-Y2Kx0CiFA,2015-08-06
-AQyGGLrejN1uLaJM-a6mQ,2016-01-30
-ATiAtTikuGuqvaW2O6tNA,2010-02-14
-AWclhh1_2VnqPylPgBU3g,2016-06-30
-AYNJCQci8Tn0y0B_z1PAQ,2012-12-08
-AanHawaDlzWHQjrqRRWig,2010-07-15
-AaxZJ_I4rSFOBJbBz4SlQ,2010-06-12
-Ac9pMylK3ZdZQ0jtO6bVQ,2010-11-16
-AdaSS3N7OsgnBGqh5EMQg,2011-11-30
-AgYybTLhispcYcoIV7E9A,2010-07-25
-Ah-gbZpa-IiQVIrhKRhhA,2013-01-21
-Ah16__ceG91aXtrbkhkxQ,2017-04-03
-AhpS4MUSdYWg8SwZpV6eA,2010-07-10
-AjSXsdPtBhWl0kY1-QsoA,2014-01-15
-AnhOOC-KXKNUT-ksYY9sw,2018-01-20
-AvUCI3vOj4gww3s21WsDg,2011-02-19
-AwHpMr4p141Uw1ogOO9FA,2013-08-10
-Awb67JgBbySP4mQtOtNsA,2011-09-24
-AxGGm4yvhedkmN1glW1Xw,2012-12-22
-AyTHdUwHI-u5vAuXhUpPw,2013-06-05
-AzaeuPwxqFO4SMSKjbuCw,2021-08-23
-B5LbC_57Vhu7wB3hcFZTw,2011-07-16
-B6XL-ZWsVHlAQyYcd3eEg,2010-05-01
-B6fyJ8PoAMr_mH5VGaPjA,2015-06-11
-B7E8MFb47FoGcp25lXgxw,2011-06-03
-B7m-EJ8Moe6pSqMEqAVEA,2016-03-31
-BAbmwcDsIfiYVNizbjSnw,2021-05-22
-BB9Xn-ak_23FxVEWI5Y8w,2016-01-30
-BDSQ7COGF0tcbWJRkTIZw,2011-02-09
-BFrwPGCH-22kRPvFrFk4Q,2013-01-19
-BH9haqiUB4AHw2pw2u51w,2019-01-13
-BHSeNtP6CoErp30iGDxPg,2011-07-10
-BK7x9C7xtBoriluTz6lEg,2013-02-23
-BKUma4mz8uqH30nfOUiyQ,2013-11-26
-BLKZfw-FX7602K59OpBgg,2010-02-26
-BLVl824WRLFIm_uiHmkbA,2010-05-23
-BPvsLwU9XqGRD275rEpsw,2011-11-04
-BWNwPx6dtSRXXqFnCgO5Q,2011-09-10
-B_2jHrwV2nWNqdoWtBC8A,2017-10-09
-Bd4I7Zy12CRq-eGHk_T9w,2011-08-03
-BdYhP-12elmFV7oB1iv4A,2020-07-12
-BhSR6dAry5-2x3ndjX_9w,2016-06-10
-Bhoyo7LL97tgt9Hze0Saw,2012-08-18
-BjXcRcvDqOQ23eUKx6hjg,2010-02-26
-BjiftPB0ZIFL-7OzE7Xgw,2013-05-25
-Bl2AA2Ujp1EBp0hEw6sIA,2010-08-25
-BlhrfAM9jUF0nTMd_2FTQ,2020-03-04
-BljPVosg2GY5YH5OrYzPw,2016-09-26
-Bmj57EnUH2MsXRnJCG95g,2014-07-31
-Bsw0AjWemVa8D_7g7-9Kg,2010-06-16
-Bu-aR0R7vtEwoouiLt3jQ,2010-08-14
-BuX4SXTqoidLl-H-FUH9g,2010-06-09
-BvpRtFulI1rUkXEOXX3Tg,2013-07-17
-BwA9H1r-t3vn0yVfCfYGQ,2010-10-30
-BzW8aCGAQp4M5fnNGD0PA,2018-08-10
-C-b1o5k85Er9EH44CjjcA,2014-05-06
-C0DXAsxofWlGIcY1y-edQ,2013-05-03
-C0I0bSrWz2pO_FHhvt4uQ,2013-03-31
-C3MyZBUSR75wKE8RIkGAQ,2016-05-31
-C3uMHgUbV0LxV0rJ7z6EQ,2010-10-28
-CC4GaKGzXH8PmjhBfx6Pw,2017-05-16
-CFbp2G4bW67yQd8hOmKNQ,2013-11-30
-CGp5Ix4u_Mt45nrWvHSaQ,2015-03-14
-CIZAVxbJ9RDWl9Xx9kzOg,2016-04-27
-CJ7NgAqUJir64qeZMsgCg,2013-10-03
-CJaGFoVnofRPKwl4NJaLg,2012-07-16
-CLLdRWg2JJ6QUVj33HYNg,2011-02-17
-CR3TrQNQt16sZ0rqzXa1A,2017-09-30
-CRjqZ4GxZ6lIa_qMj7-yw,2012-03-05
-CSlBMC5C7r8n02DLTw6kQ,2014-04-14
-CT2Fwd917y0eIWMyu9Yag,2017-09-10
-CTXNz_zxEqh47huMyk1WA,2014-08-06
-CUxLDv32dbVQm0ji_6dZA,2021-06-26
-CX8deTmT37DgG20_joBEA,2017-02-08
-C_5RtXY4iIoztzIYVqMSQ,2015-03-31
-CbBGlrmddJsaruk6LdI6A,2011-03-22
-CdD6FRRWFeeNIYklWIK5g,2018-02-23
-Cf1DZ-2BVEjaGJ55U7GYg,2016-07-09
-Cf4TdTeHqdk3ZmK9_4p3w,2012-10-26
-CiuESq1Pb0_x2TGi74oyg,2010-08-09
-CmqoK12gnomrCA9EhbTpw,2013-07-24
-CoSh2bjDUFPDPjPe43zXA,2010-04-30
-CoVlGcw8nOmkp_ASc_DIQ,2016-09-20
-CoZunWzch6HzMaM34dOEQ,2010-10-02
-Cof8kRTgMxEESOqBBTE-A,2010-06-25
-CrtBuQXUJUdyZZiAsNapw,2015-09-22
-CuCli6mf9k4ReagRzbZbg,2017-09-19
-CvjeIt8CMUMBRnikhHCDg,2010-09-20
-CxtqJCjNkUclBiclhfmbA,2010-10-09
-Cz1zBt_t8CwNKppk3rlTQ,2011-02-20
-D0kqTtGFpo7ka8KPlUHYQ,2010-07-07
-D3EniQXfbwk8rZqjWvEaQ,2016-04-06
-D5XxdkNwCE65dX_aybvog,2016-04-20
-D5argS_IZ4AL0LYbvXNgQ,2011-05-26
-D6e48MuV3X_8WovFoOvUQ,2011-02-02
-D7Vo2CuNfBE-vwsOyVCFg,2011-02-15
-D8eD37Ahq3SbLBTuGG6Xw,2010-10-13
