business_id,user_id,tip_date,text,compliment_count
aK6R2akvIK9ijw3FvDy8vw,ffWWVlmsrN5lZ6sjAE-vTw,2014-06-12,Basically same food as rally's for $5 more,0
EXYbKA1tocvOK_1tXxZXLA,j2sEA3hiUcwHfq9Ml6M47g,2011-10-13,Don't go for dinner. They close at 6. Really Yvonne L? Negative stars for a restaurant where you you didn't and never intended to eat?,0
H9fkf4Xkj_j7Zxs1FmY58Q,jsaN4TDygu76AGTiB3PpBA,2012-03-11,30 mins for take out. Right right tight,0
ReX09lhufLTAx19krkltDA,kjFgyrCvmVVGSlgWzRXILw,2013-06-10,"Got the grilled chicken entree. It was delicious but was a small portion. I like the environment here, for sure, though.",0
c5nLy7YgXG-IIrOmqJv1nA,I6aRZ4sE7ixv0_2r3-XvGw,2016-04-23,This is the bomb ! I love this dish. Try it you'll like it !lol,0
LJaR65ALpz261_dlVWqV2g,Ll5l4WTKPH7zWQWA68Rhdw,2012-06-02,Helping Mona find a new phone.,0
3ZynJ94VpIdDlaArmEp2Rg,FQ-zmWPEG_pjSQx6pt3Efw,2012-10-12,"Yes, I'm eating here again. Breakfast!",0
Zg83olSjsdXAhE5EEy5IcQ,1viszljzsa8W7VnYPuWosw,2018-04-01,Order crispy and they bake it up good.,0
pWuoHHu0LuVrD0HjadDygg,phKNHTaokisQkZ7qQbxryA,2010-11-21,Crepes please!!!,0
ZhCnKe7U1TsHWnAlXl8Isw,Ba1I_wRHRQzvuyFU4PwPrw,2016-05-02,The pimento cheese tastes great and is a large portion for a starter - great for sharing!  The fried pickles are also awesome!,0
xHwvbm1SJwtaZtOZzFQcmQ,tA1U-XSh9woo73eQmWGyAQ,2016-06-11,"If you haven't  been here in a good while or if you are used to the same place on the west coast called, Carl Jr. (both are applicable to me), please don't  come here for the turkey burger.  It is no longer on the menu.",1
M1hsyjJDdQQeNP164FJ1pA,bjX58cooXPxdNfR0GZ6r9Q,2013-08-19,Everything is yummy!,0
FpwmIq3Gpo6hGIrOOv8lTw,VQro7KJpsspqEO68ilIJAw,2016-01-11,Allow yourself time to wait on your food,0
tkDs-InBqql7rqlAan97vA,BC2LVfzoizlY4kJPzi_13Q,2012-07-28,"Looks like mini burgers, similar to white castle",0
ghsaIqQ1xY3cWtWWJ4QW5w,CozGguiwx7JEVk7cAwdvpA,2010-12-27,Icky on tap,0
vaYy-IWyfh1ILji0l2TpzQ,e67fm29pOiQUcPSltCAHVA,2016-08-01,Great breakfast buffet open to the public also ;),0
9DJhhBqQSu-gTBwaqdhgpQ,jDThlALkraoQLLBYHqY7FQ,2016-01-16,Come early for the best service as they fill up really quickly.,0
8YJtf5v76SIz-4udyF4YmA,fjpoZaeM1QRueYLl9FSLiQ,2017-09-23,This place had great coffee but the owner sold it so it not there anymore.,0
IiJ744MOUKmRYAgNFkcs0g,M0Hgcpkd5MxOaxLB3ELhXA,2014-04-05,Great Pancakes!!!!!!,0
UNtta3w643ZWsJ7JDxhC9g,kfiBpwAZFxAo_RcrBmQjbA,2010-06-02,Taking the free shuttle to the cards game!!!,0
XIKYdKWq72zUYsq8NBxcCQ,YnlCpuaBa3qWBp4te8pGmA,2018-01-14,The honey glazed salmon is amazing!,0
jSr8KHVtQWgC_S_xNyrG5w,Pqf7MYeNsSnC8aSOgg-Oxw,2017-06-30,The real fruit juices and smoothies are the best,0
xv_U__GI9gmzKIHT_TANnw,xEM8BRJ4wm_s47Y0nL51MA,2011-07-30,"Best General Tso around. Also, try the grilled sweet pork, ask for extra sauce.",0
aPD0HkuA7MXNhZZqXiGF4g,IE0f4Mt6rfEw26pn598doA,2017-09-30,Great fish and chips!!,0
nzqx3NJ1Yf-1bugLNikSCg,_YBX0Fy9pI0ktOQ9RtFhAg,2016-07-30,Hours are incorrect on Yelp. They close at 3PM on Saturdays.,0
wuoYvojFNWuRrUO2UyM47Q,9C_h-H1Z7Xz7dvbgsBrnSg,2011-08-07,Slowest gas attendants ever,0
u3Z7X2T7ssWO9qvMRNcsOA,q4twMHnYmRmKRxdVDYakbQ,2011-12-25,Great place for breakfast!,0
t0zwddmbOGQOADrAxEPHQQ,XJDLaoN1PerKw2woiKeepA,2018-03-31,Come by for some Jelly Bean sours this weekend!,0
TghRoAMx43V-9l7mH-SENg,VECuzTUvA3FvaqSUrdXIMg,2016-04-18,Best Mahi fish tacos blackened I have ever had. Great atmosphere and cocktails.,0
RNzhLU8zy1L5dBkjRK4xEA,nZB33t0RFtq_jTxJJJ6wfA,2010-11-28,Best steak tartare ever,0
wUZXm4KN2wIqlfkvXVZXUw,dDlGamr9iLPdbfwDWvmbMw,2010-04-27,Drews Brews = yum!,0
zjLT8ELDYxxknQ9ZLrl6_w,BrobnxoTkPml180NhXl6kw,2017-03-18,Call ahead of time to make sure there isn't a wait.,0
5yjHCLzwHgjKNNHgAaUC8Q,evVjF1TOaNwuUK7oY2k53w,2012-03-28,"Jimmy the manager does what he is best at again, thanks to him this place is now my fav",0
5do_HLD3bwfYIJq0nOO-PA,VgqlluOAE_wV8oT2tztc_A,2016-04-19,Great wings. Awesome onion rings. Enjoyed it very much.,0
eMiN8nm70jjKg8izikVWDA,Rr4cLb6Go91FT134o6RsKg,2011-10-16,Mmm Yummy Crab Fries!,0
JQXKCQPIeoxzy6x119X6mQ,2eC4qmjUNR7-LG8s6t4Ehg,2012-03-15,Work lunch,0
zLTzdEg985ZDjjNDqVShoA,nVRi_VJJsYXclAuv5u4Eww,2017-07-09,Dont go inside cause it stinks of stale greasy carpet.  I guess just drive thru.,0
HgPTy_OGoaxllb2EXkC1sQ,g-jD73ukXg5c3IKpv_sTyw,2013-05-23,"Good peruvian place! For $10 a place, its worth evry bite",0
1Efad30BdOeqqjX2d6P4sw,nhXyjGOCfi-EW09bJqfAzQ,2015-05-23,You MUST have the popover breakfast!!,1
eJ77e9lGxY3ArzaoDbHhYw,fJhr0G2JBNkfqpbIwkEQHg,2013-02-16,"Good specials, nice menu",0
HCqmx4ENAZ76SAjoalj-MQ,quW07vsrJxccqBSzczjrpQ,2013-02-14,Bubba's Benedict is a great choice is you want a mountain of breakfast and also have time for a nap later.,0
UFCN0bYdHroPKu6KV5CJqg,rSeQlwsBuWzKZYKac7r8Gw,2016-08-01,Best lunch/ happy hour in downtown!!! Kenny rocks!,0
95d60_mjUg2kLy-bhDLC6w,5a7o8Z_jc1pabjavUjWyiQ,2012-03-18,Pizza with the Heberts!,0
l-rGtJt0E7PAklT0IK7oFQ,9qZVikoJoqfQK9SBSynAGA,2014-06-14,Great atmosphere... Live music... Excellent drinks.,0
fgnHM4VT-n1VjFL3YeBJsg,9XhCRgu_v7y-X2v4Av3HPA,2017-08-29,Ordered the pad Thai shrimp and it was good!,0
tnJT4UUVsrrJQL7wfDe_lQ,2CCJdupLxjqxthneSuuScQ,2010-12-24,Super Spicy Roll!,0
ot6Qu7MbA_D_b3FTVHoB9Q,nR9klq6eOdBuA_cSZW3HqQ,2011-04-06,Always good for a shoe bargain!,0
1lSj24GO6VMJ2uB6hW3pGA,ztPinMY7A5o4HteSMyBzdw,2017-03-17,"Average, nothing to write home about.",0
RiB0e4L-Gx3BJ5qlsa1ZIw,BDOCu_rbF75vMK0stzxqkg,2017-10-01,Great market! Beautiful location and easy parking. Visit this market!,0
DlOZoZZRLEOuh9FdAw1few,juigu8XxwzLAeikeBzULbg,2013-08-18,Using my coupon to save $$$$$$,0
-Xld662dL8WxrwP--bclIQ,cogPv5baWhsR-_Dcw3-Taw,2011-05-01,The yum yum roll is delicious!,0
n4T7WmI1zynpjLu7OYAgPA,0YZAP4UFO4beJCWKoaYh8g,2017-11-15,She is the absolute BEST!!! Always turn out perfect!!,0
wrgtmWOkq1FwnlSgl6QcJg,VwiYJN6BxqtW_zF8hefhmQ,2011-10-12,Drinks with Jess :),0
nwFyEhtZmtSkomYGkK0AAQ,xiDVj7FKvaFNosDVFqbobA,2014-06-15,The music in the bar is a bit loud!,0
mlaWsqU8jTwt-6m8v3RnAg,k8y8sNAXTl6XMzg5Qr61rg,2011-12-24,Buche du Noel. Yum.,0
PcX8zGIJ_XHTAQAcEOwhLw,VWJ8PSz6Sg5_AlBvQyGvpw,2013-06-14,"Nice resort, right by the powder white beach!",0
i4Fbd8a3P2xLbK2lFo2HEg,wfi0T-xq_P5sKQvwQitlYg,2015-05-30,Lots of great 100 anniversary specials on now!,0
kQXoYN6LqCs1CElEFWj-bQ,bZCidhCfi-qOrDO0HcL55Q,2014-03-20,College crowd dive bar scene. Friendly folks & lots of Irish eye candy ;) hahaha,0
s2JiYzE7i68cXIV6YEcVTw,xU4GbT4VKMpyOxNJAuP3hQ,2011-08-09,Fish and chips are very good.,0
fiBEzPfn2VOZb-PjLcm7Ng,CEHLx_Plqb3rZ4Hpg-RSEQ,2015-09-11,Good food and great beer. Great place for friends to get together and catch up.,0
3w7NRntdQ9h0KwDsksIt5Q,8ohYIH9wHjKdWc4yAROqBw,2013-03-09,Just in the nik before the mad hyper kids rush. The poor staff!,0
3VvZpyRMg5p3nH2-iK3-Vg,wM7G2F5HKi62yvO-HM51zQ,2016-01-24,Dessert menu - on a chalkboard above the bar :-) :-),0
o1PhBVppw2EtNw9pw_-pVQ,SgxD74-CkftmYxm2-KNKgg,2013-06-01,"Michelob on tap. No lie. And, a very fine burger. Like your mom used to make. Only better.",0
ihYtslFvge9B9KK1S_E8rw,2idS8cD2zvsLnV5A9IImGg,2013-12-21,Great good and service.,0
jtri188kuhe_AuEOJ51U_A,vbTVyyBl88xVRlTQcBXTUA,2016-11-16,"Many locations of Buffalo Wings & Rings open at 11:00 a.m., but Tennessee's inaugural location opens at 10:30 a.m. Monday through Saturday!!!",0
i1A9_CvPb0SZ_5nTddCEgA,bsNS8tvMDn9ntB8OP3rNsw,2014-03-13,"Great hoagies, great bread!  Cutlets....meh

My go to sandwich: A Cut Above Italian w/ oil/vinegar, l/t/o, hot peppers, sweet peppers, & pickles",0
PGd06nrseC2YAIqP6S9gUA,wnrHhjDpQk5uLUK7Iku75A,2015-01-18,delicious bloody Mary's!,0
2YyIIdwnYv5cApn1gZo_gw,1t0xnNP5b_9EOhpL0uSFyA,2013-12-18,Holiday party,0
sZ6ZdSNinpgOfdq0k7fJiw,n11FfirC7txX9g28jZElvg,2011-07-16,Some of the best Chinese food I've had in New Orleans. Wait time is rarely over 15 minutes. No delivery but the food makes up for it,0
uZsStnH9w2xY15og9VsQZA,Ig2ttf1xX2Ihlm0nsykaTw,2013-05-24,The staff is so nice sometimes you get hugs:),0
iBRcuymkhTk6mjC3Decs5g,QEpNF4Hag6_W9Stc-1Frvg,2013-09-07,Their Gluten Free section is in the back of the produce section in the specialty foods area.,0
Xk6GSFf8KGGZ3cyYijwRcw,trf3Qcz8qvCDKXiTgjUcEg,2012-08-05,Bangers and mash.  Just like last time.,0
-CRjqZ4GxZ6lIa_qMj7-yw,gHUJQESZY_UESjTxh0HpOw,2017-03-18,Solid late night Chinese take out,0
oRZ24FzN8-RucbIMOPpHww,8t8yfB6XsqO3BoQZj1CJDg,2013-12-20,"They are slow on service, it took 20 minutes for the server to approach on a very slow Thursday night.",0
L2ppV5eK9krUkcQivDqr7Q,zYFGMy1_thjMnvQLX6JNBw,2013-03-03,Not a bad seat in the place,0
tV46IhCfHbsx_af-pMupiw,td7JrqJMybMZKKoa1h9Qsg,2012-05-30,Very slow service. Order as soon as you come in.,0
zWkabha6AGOGGIcKMqACXg,IlNN0372S7qPOMPLw5zbyA,2017-09-20,Solid so so,0
Bj7DL3SwmYHZYqPduAsa2w,j9tEVrwdzlfHHJ-dz3dWrQ,2012-04-02,Like the surf and turf (better meat to bread ratio) and good fries,0
sXaiyPC1fT6ESl-6t7eSXg,hZ-ZtZ3bqZg6GhWepqj20g,2011-10-23,Hangover food,0
Enf481q4AQpAK4uWiqoXbA,H-PUXKcmpyva1V6qeeDpDA,2011-04-15,Go Pacers!!,0
LWbj99tJolTxhzIbXWQOaA,EomT2qmTWWUyl5bCjjoYkQ,2015-01-25,Lots of ppl but good,0
J2zwx811y2qV8JEuvJvqew,ixmpL38zTJg7STt67tRTBg,2012-10-05,Out of business !,0
sl65fzIX32eg75sR6ShjtQ,3-I7OhqGOOzcjPsP8ChJ2A,2012-01-09,"New ownership, $1.00 drafts all day, and very nice food....",0
ve0dqW6L0FOVVOlhop-p1g,GhnqHTT1vKkLc0Z1rGsQ1A,2012-07-21,Empty,0
Ucl9Vo5lwrUmYbV8Dv8X5g,v6QXk92rkGkPG8acu-95Wg,2014-01-01,Clean bathrooms. So let the beers flow!,0
Qw7tz-UkPrpXaVidWuab4Q,nXMMoDzXRByQiWH9cf-FAQ,2011-08-06,It's free first weekend if you have a Bank of America card!,0
bp5Mk2d0qofUeF5uLauIbg,imhUgZdEXe-JLZT381S6-w,2017-06-14,Everything on the menu is authentic!,0
ObkVEcYUuf3efg-0V_WYfQ,LkXNQQaIc5yrKu9Ap87RrA,2011-10-03,"Self serve onions, relish, mayo?  And FREE caramelized onions?  Yes!",0
vxLV9tci88Hsr1G01uleag,wdNTfRMdKZqpOo1G4YJGbA,2011-08-13,We've been eating out too much lately!,0
uWLFplSCk3lI9rf84ZDwUw,x-8k5jzFftrIV83M98smmQ,2014-04-04,"Good biscuits and sausage gravy, but you've got to ask for it because it isn't in the menu.",0
Y989Hsw30AYUMcyNjBz9iQ,t0t4XNPtitNdgJv9UbfJgQ,2013-02-16,Try the crispy duck confit!,0
isuOwjnrPrr1bRELgQM0aA,r4NVmZeL9UwaISRQYKMv0Q,2013-09-19,Just had the Korean short ribs . Yum.,0
pTMi7h7JMtwSsijdx_BPDg,2GqQGWRmasX8qDuG7CDiWg,2017-06-22,"Probably the best pizza in the area.
On Wednesday 4-8 the large round pies are half price",0
yZwlpIhzVRxVdbIkuw9-VA,wzX8UssOglKwSDx8qob8zA,2015-09-10,Open late and everything is yummy.,0
LG80KAbnjI3fICP99UE9RQ,WhjYxQIiAIZPkVqUqSBDbg,2017-06-23,"The people here are rude,",0
cv-SmPhbpwQCtlI2Q7KJIQ,jlN9luFsNZfZkxnM7cdLKQ,2013-09-06,Very good shanghai soup dumplings,0
xSn2d1RTvK7e4KM0bI2NLg,HQG3no8C5U31z-k1MaYCqQ,2012-03-14,Stale chips but the queso is oh so good...,0
fCDMLD21ypv1XZ_EyafCkQ,YrDbyRFyan6nx5aXb_N8Hg,2013-06-07,Delicious Vegetarian pressed Cuban sandwich!,0
WMkiheTT-8kRslImVLWMVw,9r0RoGmf7211qmiLZsgYeg,2013-06-20,"The all local beers is a def plus!
I had the garlic shrimp with garlic bread and my wife had the duck salad. The portions are decent and the duck was excellent, nice crispy but not burnt skin and the meat was perfect not overdone. My shrimp was good, a bit over seasoned, however not too much, nice size pieces and really good with the sauce. I would def go back, it's worth a look!",0
htO_nlxkEsYHzDrtbiUxew,5Si-3Rt03p8r7fGYd-1EVw,2013-02-05,Great coffee,0
NhyPM2MS8WDfXb8ZT1hgfg,UlWDGR0QrBbdFsVY6ugocw,2011-04-11,Red velvet!,0
oJf3IZloLf_PDeEeZW5nDg,9M_nk0kA3CTJt6UoxRAK_g,2018-03-27,Meatball sandwich,0
90pJu2O7fIEm_N31Fyue7A,EW3jDZFPhUEKPxPMhxLN8A,2017-07-23,They have mocktails.,0
ZVRqsjSYyrMNRXsdgsKXVg,DGEpPdLiNNI7I6GrdFePKQ,2015-06-21,"The best nail salon around, both in appearance and professionalism.",0
gFApW0S59priCHlZbMPSiA,NAaivzPy-1wVLWp9h5BAYg,2012-10-17,New place,0
G6h-9AZro_Ni_4eRR9CkRw,2eC4qmjUNR7-LG8s6t4Ehg,2012-03-18,Pizza spice!,0
zBpNvn_gH6T9KYTZCvqtxg,kRlC4Got8Uo9RHdEcWVMuA,2016-05-23,Save room for dessert. It is soooooo good. You definately don't want to miss out on trying it.,0
_wfMydyx6Mlf5Uybg7XWNg,vszWukp8rqteQNhS4RMKuw,2015-03-30,Take your woman with you. You don't want to get the wrong one.,0
Lv1sMLqeXVn0CaZLIrewlw,RkOdQL51_KAkxlGbIUIXIA,2014-03-23,Show up on time :),0
SIoCIxjn4jLt2O-4DajWJw,xyad5PXaHTdKrdNClXbMqQ,2012-05-28,Chicken sando comin' up.,0
DbKj1ZbIGTLUjprdDk4-3A,TD_5wqsgp5HrBoG6PWLehQ,2014-06-20,Eat everything lol,0
Zmwm6d872C8kWJr4b6UGfg,0LY6l9-Z2IrVtnfj6OX06w,2018-04-01,Great tasty food,0
WnZhGc722cszK_5imM4Qsw,zoBajEyVA0z4IjbFsMJksg,2011-10-22,Rawk!,0
n3sRn8jx0zT5ew4tjjrRBw,Ycb2MvdSCdRV_p8F7YGHEQ,2015-01-21,Great breakfast and lunch,0
SAQgO7Ij2cdnMp8VQKBffA,QVoOwjH06W-jYMjVh8hwIQ,2011-10-08,Try the Calamari!,0
HpmsY3JJ4gIuS8EiVHwMJw,4Dy4PVb5lykv4N0kYiRhVA,2017-11-18,"New Fall Menu is amazing! If at brunch Sat or Sun, you must try the Rabbit with a creamy polenta fresh micro greens and sauteed kale! Delish!",0
dNR-b-CsrFGYhMo9zLMrCw,P-YebwBHwvPL4kfU8xXhNA,2012-01-17,Yum.  Curry fried rice is great.  Big portions.  Warning.  You will get tired of rice for a few weeks.  Unless you are Asian lol.,0
8Kw4-lW3-ag4s2s9ELQzgQ,d1LU2oIXZ3QaU5fZ3Jp2HQ,2011-05-08,"Can't pay at the pump, but same price cash or charge.",0
ADe114o7Z4vb1O6HkM6YEA,ooOdMu4BchfGH58mezhzGg,2013-02-19,Grilled chicken plate with tzatziki sauce,0
2GgFrz1dQ6NzR29UIYQ8Xg,DnL9CT5gzpwyArhGaNQrjQ,2017-06-22,Cute little local owned coffee shop. Good coffee and delicious snacks.,0
vEdNsFx-ozYFNxR9XZQ5AA,ojb3bh9erj8OsjImzZwf9w,2017-05-13,Khole suggested the mac and cheese and it was amazing! Def will be back!,0
92HeuR3hbRwGopK5zmmuag,fIvzTi_mk6yq7LTw8xiHSA,2010-02-26,Docks for iPod charging and speakers,0
Xpue0uHw0dk7HdIXVjhdUA,39OQEezZysSJv735m66T-A,2014-09-21,Owner is really sweet and takes the time to explain the ingredients in each product and the effects of the plant.,0
uQWhejZCTCeJheRXOAU8ig,Up01JEJT09-gYC2QixklZQ,2017-06-28,"If you are not a member, you can still sign your child up for swim lessons during the summer",0
3GCYUw_jbRVmKRPizwMAzw,RKULSOrIvvYpDmtuYXEXzA,2013-05-16,....another frequented visit....been coming here since I moved to Havertown in1983.,0
jiGj-UE_2I2-An5IFeNiqw,6s5whJLSvZFIF0Am4RyjUg,2013-05-31,"Don't miss it, it sits back off the street a bit.",0
sTI1emOwk2eJPw7ka_YPXQ,iNZuWjfkYJb1GvyqghOj6w,2017-09-25,Great! Rachel was awesome.,0
aM3gFY8Eq2KJuvNBlGPJEA,q4hQSVOCK-FfNfqPqiBh4g,2013-08-26,Get a free tote for checking in with Yelp @ the Brentwood location!,0
Mf1sUtl_KcQqfSUM-8iwfQ,xaJ0JkoGdaSaWkKGMhc9pg,2010-12-24,Veg biryani was ok.chicken was bad. Neither were true biryanis. The rice had a horrible red dye,0
Esf3-D_44pArPd9GqysoCg,UqVnFtX7ORbDhMW6Pd77Jw,2010-12-07,The Duchess = combo of marzipan on cream on lemon/raspberry white cake that's moist and yummy (better than this sounds!). Worth the price.,0
H5nMeiXJmLpBALeV8A-FeQ,3vofzamIMkrS0PPf5aSmRQ,2011-08-04,Pineapple-basil is the best flavor,0
BVNO7y66gBb82RwZVj74HQ,YZJxCGJYGYR-IbazxS3Exw,2018-03-24,They have bathrooms in the restaurant.,0
iFunuVzrg10UesZvMPCHHg,_sxfMOKphtb9S_4tq5qXQw,2016-12-09,Great customer service on every visit,0
N3ZhDBulGhkuJnZ0ue109A,ShzFe3RF8Kwl8vzhZ9LIAA,2014-09-10,"It is now more of a restaurant then a bar. And I love that! Spanish style food and drink menu, salsa music playing in the background. Great atmosphere. Super clean. Friendly staff.Try the coconut mojitos (garnished with actual mini coconuts!) Or the Passion Fruit Margarita (yum!) New menu. Mainly Everything is Spanish style (rice and beans, tostones, maduros,etc). They have a larger dining area on the 2nd floor and an outdoor patio that's only accessible through the inside of the bar.",0
TpUGMw7Lq9p5WT1t2qHD0A,pWcMk-CufDr7a9hpcd1fsg,2015-01-19,Great food. Try the steak kabobs. Very yummy!,0
VHA-b1NH4tIZB_IVEf_pmA,xZgbvWE-fF0QEv3k8FwRuw,2011-10-01,Pokie rolls at the dessert bar!,0
I2CxrvM0BGH1svfxqGGD2g,reXq5di2UzuqxYW8M5X_fQ,2012-07-27,Went here by accident trying to get to a Bbq place down the street but Thursdays after 4pm are 2 for 1 beers so it was worth it. 4 yuenglings and $7.50 later we were happy and on our way to the bbq place. Cool server dude too,0
dtWFuvupLrMmPb09uy6wVw,D2IUOetOVfjAkmohD_hsKg,2013-05-31,"Dipping sauces are extra, but so worth it.",0
9-_C4cdXj0c1iWYf4RywkQ,2LYgLhhaZKDqjuGjCuiIIg,2012-10-09,"Call ahead, Pat's usually busy, but he's always on time for appointments.",0
qUH2FppY7RL96F5tXzA0hQ,ezfjpyJ_XQO7aJp49T0aGg,2015-05-28,"Nice service, good ambiance, delicious coffee and lavender blackberry scones!",0
q5dSzxE6grwCzu23_PlesA,vj0uFCtrzTAp2yLeU9FfhA,2017-03-10,Most authentic place in St. Louis,0
dJfkfBbJz7wi0RgW-ph_Eg,TfeDrNQDWHL3aYm_OCmdWQ,2018-03-27,"Nice atmosphere, delicious sushi and nice wait staff.",0
VjYncSxkftCGevMFDyMKlg,Fg0RIeqM0-nccUwpc9BozQ,2015-06-21,The chips are way too salty.,0
DUQ1j7zagtoXFhwutDwX9Q,H5Sl8mMEWrrh6oXgm2zIiQ,2016-01-18,"If it is past 3:00pm and you need a quick snack, give them a call. He may be cleaning up and able to let you grab a snack/drink",0
P5yulkthm6nyunOLt-rEVg,zAMpV0uFt9XpqRDFNLWPrQ,2016-04-19,free in between neck shaves,0
X2VNoC43s7df58HHDCqMwg,JwulbBFNBMyinY6KAorrDw,2013-02-06,Home made falafel! Yes pls!,0
yPOVNQu0iU6BR8RPIfIE3Q,KqzgupvHOVfYQhefLBQxzg,2012-08-01,Yum yum yum!,0
Bb5YSi_C9p4Sp6eD4ZCSVQ,J4ywgQmEehzaBl5F2DTmiA,2016-04-24,Cool little place with great pizza and service. The Sonoran pizza was excellent.,0
4r3Ck65DCG1T6gpWodPyrg,3o-566iCnJNndaZdEOajmg,2010-12-02,"Get the $2 ""additions"" to the cheese board- the quince alone is worth it!",0
YpV0DniZQKnG6mWVVl-TSw,bOei0iogihBsoGwcBlEvmA,2012-10-19,"Met one of the owners, awesome vibe in the place",0
ThdleGpP0WTS5iRTMxpONw,56idZ-GGAljEJSvBlGpawA,2012-07-28,Pedicure with a quick foot- leg massage included,0
Im203DgoWCdkAx1qEY7DgA,gRGalHVu6BcaUDIAGVW_xQ,2011-07-14,Chicago style awesomeness.,0
3gU3-Js8UlmKmKI-PhSLog,zfD3xhVNkGJs-AOOSslqtQ,2015-10-04,"They are doing construction in the office now, so looks a little different than normal.",0
BcWx80K4i0LjIkH40o_Kkg,irIWWqUSS06qYH8kSrGqrg,2015-01-21,Love it there been going for years.  Chelsea is the BEST! !!!,0
R2sUttu6kl5on4k1khkDqg,PydnNXXz8MmWfYredcwbow,2014-01-02,I'm always in and out!,0
nTkJq7iDAcPyoe2zP5NhyA,-G7Zkl1wIWBBmD0KRy_sCw,2015-12-19,Friday drink with friends.,0
kK1uqNkYDmmrUoqaTqSeyg,YiZjXluPx3np-L6A8PiUWg,2015-09-16,They probably offer the lowest price drain cleaning in Nashville. It's pretty sweet. They're working on my house right now as I write this.,0
ZVIYUbsrSFGffkFj5knDgg,roGoHGWTkYrerml4wr6Wmg,2014-03-24,Right now there is a promo for Special Olympics whenever you order a Grasshopper!!,0
r9j3Ri3D2lqD2ToA49qmzg,83aWd9O8xb_a14BLXh-D8g,2016-01-31,Everything is delicious!,0
LMUAosYkvkP9fAkbDz1X4Q,CjX9Aq_OqVantNrqY3447Q,2013-12-06,Be ready to make friends!,0
YD9-VUxnobct_Jv4E9SAvA,Y4EjztIbIWmzHoYJdr4L6A,2012-01-07,TCJ catch up time,0
ikONTzFKwachQtFtoMGeIQ,gYeiI_21LzFWidjHbNkiyQ,2015-05-23,"Pint and pizza slice for
$5.95 is the way to go!",0
KuQIzjzwhqykR3CMwqNBTA,wJ57oQxkmdN2Milto9nOmw,2016-08-06,Take your food to go it's too Hot inside with no AC!,0
jRpK8oG_8QKaPGaaKiCyng,5p2XL4dlvyh8jYJDA6HfLA,2017-09-20,Love this place!,0
6gDgOXYjpa89wbtAwz1Gqw,i_1vWPbw-x2XkJMrgmwwOg,2013-03-09,You fooled me Yelp. It was just OK.,0
O9UsAVP9NRNkBv3wewHw0Q,HetgfaEdm0699-C0B0p6hg,2017-09-23,Great time!! Bang bang shrimp were AWESOME!!,0
sO1OD0SZkXXPtIXj2cS4oA,D4un9kv2gb3jaPDS7NMELg,2012-03-18,Wow the Saturday night band is terrible  tonight,0
BkVw-eo0TutX8SmLpDzfMA,oYn4yU4hI8w9vMQkR9bx1w,2013-08-29,Just hangin and shaking hands with Sister Hazel..... A normal day  in the 'burg....,0
2LfH-mKHRnMZ5qx0gj8PXw,0olssiUH8NXpfOb5si5Jxw,2013-02-07,Great place for shoes awesome prices. Great prices on workout clothes and everything you need to workout.,0
2uTT4-ZY21p_Py4pmbrbTg,Oi_BMk3WpW8dvVozRCc14Q,2015-02-07,Very fresh and tasty. Good deal at lunch.,0
