business_id,name,address,city,state,postal_code,latitude,longitude,is_open,categories,review_count,stars,effective_date,expiry_date,current_flag
UJsufbvfyfONHeWdvAHKjA,Marshalls,21705 Village Lakes Sc Dr,Land O' Lakes,FL,34639,28.1904587953,-82.4573802199,true,"Department Stores, Shopping, Fashion",6,3.5,2025-02-24,9999-12-31,true
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,,Tampa Bay,FL,33602,27.9552692,-82.4563199,true,"Vietnamese, Food, Restaurants, Food Trucks",10,4,2025-02-24,9999-12-31,true
il_Ro8jwPlHresjw9EGmBg,Denny's,8901 US 31 S,Indianapolis,IN,46227,39.6371332838,-86.127217412,true,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",28,2.5,2025-02-24,9999-12-31,true
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,15 N Missouri Ave,Clearwater,FL,33755,27.966235,-82.787412,true,"General Dentistry, Dentists, Health & Medical, Cosmetic Dentists",10,5,2025-02-24,9999-12-31,true
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,2575 E Bay Dr,Largo,FL,33771,27.9161159,-82.7604608,false,"Food, Delis, Italian, Bakeries, Restaurants",100,4.5,2025-02-24,9999-12-31,true
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,true,"Sushi Bars, Restaurants, Japanese",245,4,2025-02-24,9999-12-31,true
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,625 N Stone Ave,Tucson,AZ,85705,32.2298719,-110.9723419,true,"Automotive, Auto Parts & Supplies, Auto Customization",10,4.5,2025-02-24,9999-12-31,true
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,712 Adams St,New Orleans,LA,70118,29.9414679565,-90.129952757,true,"Vape Shops, Tobacco Shops, Personal Shopping, Vitamins & Supplements, Shopping",5,4,2025-02-24,9999-12-31,true
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,1241 Airline Dr,Kenner,LA,70062,29.981183,-90.2540123,true,"Automotive, Car Rental, Hotels & Travel, Truck Rental",14,3.5,2025-02-24,9999-12-31,true
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147,39.943223,-75.162568,true,"Korean, Restaurants",205,4.5,2025-02-24,9999-12-31,true
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,10359 104 Street NW,Edmonton,AB,T5J 1B9,53.5460453,-113.4991693,false,"Coffee & Tea, Food, Cafes, Bars, Wine Bars, Restaurants, Nightlife",40,4,2025-02-24,9999-12-31,true
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,8675 River Crossing Blvd,Indianapolis,IN,46240,39.91382,-86.105739,true,"Shopping, Books, Mags, Music & Video, Bookstores",38,4,2025-02-24,9999-12-31,true
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,6625 E 82nd St,Indianapolis,IN,46250,39.9043203184,-86.0530799,true,"Steakhouses, Asian Fusion, Restaurants",20,4,2025-02-24,9999-12-31,true
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,5505 S Virginia St,Reno,NV,89502,39.4761165,-119.7893392,true,"Restaurants, Italian",339,2.5,2025-02-24,9999-12-31,true
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,1160 Gallatin Pike S,Nashville,TN,37115,36.2485696,-86.7199857,false,"Hot Dogs, Restaurants",6,4,2025-02-24,9999-12-31,true
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,662 Durham Rd,Newtown,PA,18940,40.2734926,-74.987496,true,"Pet Services, Pet Groomers, Pets, Veterinarians",15,5,2025-02-24,9999-12-31,true
noByYNtDLQAra9ccqxdfDw,H&M,827-833 State St,Santa Barbara,CA,93101,34.4202089255,-119.7004597389,true,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion",24,3,2025-02-24,9999-12-31,true
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,215 1st Ave S,Nashville,TN,37201,36.1598858,-86.7731974,false,"Restaurants, Japanese, Seafood",161,4,2025-02-24,9999-12-31,true
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,false,"Cocktail Bars, Bars, Italian, Nightlife, Restaurants",65,4,2025-02-24,9999-12-31,true
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,3001 Highway 31 W,White House,TN,37188,36.4647467622,-86.6591868908,true,"Pizza, Chicken Wings, Sandwiches, Restaurants",8,3.5,2025-02-24,9999-12-31,true
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,1301 N Milwaukee St,Boise,ID,83704,43.6167635,-116.2853821,true,"Trampoline Parks, Active Life",30,5,2025-02-24,9999-12-31,true
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,false,"Pizza, Restaurants, Salad, Soup",41,3,2025-02-24,9999-12-31,true
8sshLb4UU7emeUDvtJWnpA,DanceLine,30 W Lancaster Ave,Paoli,PA,19301,40.0415845065,-75.4849526577,true,"Dance Wear, Sports Wear, Children's Clothing, Arts & Entertainment, Social Clubs, Performing Arts, Sporting Goods, Shoe Stores, Fashion, Shopping",11,4.5,2025-02-24,9999-12-31,true
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003,40.0067071,-75.289671,true,"Pizza, Restaurants",109,3.5,2025-02-24,9999-12-31,true
w_AMNoI1iG9eay7ncmc67w,River 127,100 Iberville St,New Orleans,LA,70130,29.951359,-90.0646715,true,"Event Planning & Services, Hotels, Hotels & Travel",12,3,2025-02-24,9999-12-31,true
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,true,"Eatertainment, Arts & Entertainment, Brewpubs, American (Traditional), Bakeries, Breweries, Food, Restaurants",65,3.5,2025-02-24,9999-12-31,true
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,116 N Pottstown Pike,Exton,PA,19341,40.029962,-75.630607,false,"Restaurants, Burgers",20,2.5,2025-02-24,9999-12-31,true
mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,4735 Concord Pike,Wilmington,DE,19803,39.822176,-75.546007,true,"Mobile Phones, Telecommunications, Electronics, Mobile Phone Accessories, Local Services, Shopping, IT Services & Computer Repair",6,2,2025-02-24,9999-12-31,true
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,722 Holyoake Rd,Edwardsville,IL,62025,38.8043945,-89.9497332,true,"Museums, Kids Activities, Arts & Entertainment, Education, Active Life, Playgrounds, Children's Museums",12,4.5,2025-02-24,9999-12-31,true
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,,Sparks,NV,89431,39.5401545,-119.7483949,true,"Musicians, DJs, Karaoke, Event Planning & Services, Nightlife",7,5,2025-02-24,9999-12-31,true
x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,5324 W 16th St,Indianapolis,IN,46224,39.7874644177,-86.2514209,true,"Hair Salons, Hair Extensions, Beauty & Spas, Wigs, Shopping",25,1.5,2025-02-24,9999-12-31,true
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862032987,true,"Restaurants, Specialty Food, Steakhouses, Food, Italian, Pizza, Pasta Shops",94,3,2025-02-24,9999-12-31,true
lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,"532 Rte 70 W, Fl 2",Cherry Hill,NJ,08002,39.915478,-75.016973,true,"DUI Law, Professional Services, Lawyers, Criminal Defense Law",5,5,2025-02-24,9999-12-31,true
Kq51_lGAgAigqmENITTr-A,Bala Better Health,"2 Bala Plz, Ste PL-11",Bala Cynwyd,PA,19004,40.00687,-75.217262,true,"Health & Medical, Beauty & Spas, Laser Hair Removal, Doctors, Hair Removal, Chiropractors, Weight Loss Centers, Sports Medicine, Medical Spas, Skin Care",13,4,2025-02-24,9999-12-31,true
mglME3E7esPSpIF5bias8w,Pier 1,1014 Baltimore Pike,Springfield,PA,19064,39.9152704301,-75.3426812589,false,"Fashion, Shopping, Department Stores, Furniture Stores, Candle Stores, Home & Garden, Home Decor",8,2.5,2025-02-24,9999-12-31,true
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,"1625 W Valencia Rd, Ste 101-103",Tucson,AZ,85746,32.1323047,-110.9999851,false,"Restaurants, Chinese",23,3,2025-02-24,9999-12-31,true
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,10303  108 Street NW,Edmonton,AB,T5J 1L7,53.5446819,-113.506589,true,"Arts & Entertainment, Music Venues, Internet Service Providers, Nightlife, Food, Coffee & Tea, Jazz & Blues, Professional Services, Internet Cafes",12,4,2025-02-24,9999-12-31,true
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,2031 Broadway,Nashville,TN,37203,36.1483712,-86.7988947,false,"Coffee & Tea, Restaurants, Wine Bars, Bars, Nightlife, American (Traditional), Event Planning & Services, Food, Caterers, Breakfast & Brunch, Cafes, Diners",159,3.5,2025-02-24,9999-12-31,true
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,5343 Belleville Crossing St,Belleville,IL,62226,38.5175856,-90.0219285,true,"Shipping Centers, Local Services",5,5,2025-02-24,9999-12-31,true
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,201 Jefferson St,Bala Cynwyd,PA,19004,40.0283575,-75.2380841,true,"Restaurants, Italian",12,5,2025-02-24,9999-12-31,true
Hwt3_mOEmU-t--ywcemnMg,Gold's Gym,203 - 38th Ave N,St. Petersburg,FL,33704,27.8083394,-82.6361678,false,"Active Life, Fitness & Instruction, Trainers, Gyms, Yoga",17,3,2025-02-24,9999-12-31,true
REwfwz-_-CMQ7Np5UVi9Qg,Jennie Deckert,,Carmel,IN,46032,39.9693,-86.1650024,true,"Real Estate Agents, Home Services, Real Estate",7,5,2025-02-24,9999-12-31,true
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,"11642 104 Avenue, Unit 642",Edmonton,AB,T5K 2T7,53.547205,-113.522448,true,"Specialty Food, Bakeries, Food, Health Markets",23,4,2025-02-24,9999-12-31,true
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,10588 109 Street,Edmonton,AB,T5H 3B2,53.5496333,-113.5087799,false,"Coffee & Tea, Cafes, Pets, Restaurants, Pet Adoption, Food",20,5,2025-02-24,9999-12-31,true
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,2815 E Sligh Ave,Tampa,FL,33610,28.0103596,-82.4300416,true,"Food, Grocery, Convenience Stores",9,3,2025-02-24,9999-12-31,true
xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,719 E Baltimore Pike,Kennett Square,PA,19348,39.8562475317,-75.6946098804,true,"Hotels, Hotels & Travel, Event Planning & Services",37,3,2025-02-24,9999-12-31,true
txyXRytGjwOXvS8s4sc-WA,Smoothie King,1070 E Tucson Marketplace Blvd,Tucson,AZ,85713,32.186794,-110.954765,true,"Vitamins & Supplements, Ice Cream & Frozen Yogurt, Food, Juice Bars & Smoothies, Shopping",29,3,2025-02-24,9999-12-31,true
DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,"1150 Plymouth Meeting Mall, Ste 2230",Plymouth Meeting,PA,19462,40.1161788,-75.2825254,true,"Ophthalmologists, Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists",8,2.5,2025-02-24,9999-12-31,true
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,10440 N Dale Mabry Hwy,Tampa,FL,33618,28.0462028173,-82.5050526736,false,"Restaurants, American (New), Italian",23,4,2025-02-24,9999-12-31,true
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,2038 N Dale Mabry Hwy,Tampa,FL,33607,27.9605142,-82.506127,false,"Restaurants, Pizza",35,4,2025-02-24,9999-12-31,true
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,LA,70058,29.8754822266,-90.04938,false,"Restaurants, Soup, Seafood, Burgers",38,2.5,2025-02-24,9999-12-31,true
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,6880 E 82nd St,Indianapolis,IN,46250,39.9062952,-86.0474634,true,"Sports Bars, American (New), American (Traditional), Nightlife, Bars, Restaurants",257,3.5,2025-02-24,9999-12-31,true
L_TT0BFmFwORAMaA83K54A,Village Tap Room,838 Broad Ripple Ave,Indianapolis,IN,46220,39.8699114,-86.1435773,false,"Gastropubs, Cocktail Bars, Beer Bar, Bars, Restaurants, Nightlife",23,2.5,2025-02-24,9999-12-31,true
mjWvAkNqoA6Y5P03sDSzfA,Educational Outfitters,"3904 W Hillsborough Ave, Ste D",Tampa,FL,33614,27.9954501644,-82.5081187,true,"Uniforms, Shopping",10,2,2025-02-24,9999-12-31,true
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,117 E Gay St,West Chester,PA,19380,39.9615417,-75.6036042,false,"Seafood, Restaurants, Bars, Nightlife, Cocktail Bars, American (New), Pubs",114,3,2025-02-24,9999-12-31,true
uczmbBk5O3tYhGue13dCDg,New Orleans Spirit Tours,723 St Peter St,New Orleans,LA,70130,29.958431,-90.065173,true,"Hotels & Travel, Tours, Local Flavor",38,4,2025-02-24,9999-12-31,true
n7AQvGvNHlmun3kqXeBKVQ,Roy's Appliance Service,,Meridian,ID,83646,43.6434944,-116.4360004,true,"Local Services, Appliances & Repair",5,5,2025-02-24,9999-12-31,true
eYxGFkxo6m3SYGVTh5m2nQ,Big Boyz Toyz Motorcycle Rentals,4158 E Grant Rd,Tucson,AZ,85712,32.2503237,-110.9036553,true,"Towing, Hotels & Travel, Automotive, Motorcycle Rental, Motorcycle Gear, Shopping",8,4.5,2025-02-24,9999-12-31,true
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,2288 W 86th St,Indianapolis,IN,46260,39.913292,-86.20083,true,"Chocolatiers & Shops, Specialty Food, Candy Stores, Food",13,4,2025-02-24,9999-12-31,true
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,12101 Little Rd,Hudson,FL,34667,28.3326007,-82.6681066,false,"Food, Grocery",7,3.5,2025-02-24,9999-12-31,true
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,Truck Inn Way,Fernley,NV,89408,39.5139704538,-119.8472038094,true,"Food Trucks, Food",7,5,2025-02-24,9999-12-31,true
B2qqjCl_BNNnXvWWfpFiLA,Pottery Barn Kids,"4011 Hillsboro Pike, Ste 102",Nashville,TN,37215,36.1036135,-86.8162678,true,"Shopping, Baby Gear & Furniture, Home Decor, Furniture Stores, Home & Garden",13,1.5,2025-02-24,9999-12-31,true
7PDi_iyik3jraDAzWwwR4Q,Chase JP Morgan Bank Credit Card Services,,Wilmington,DE,19850,39.749361,-75.643331,true,"Banks & Credit Unions, Financial Services",111,1.5,2025-02-24,9999-12-31,true
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,820 N Black Horse Pike,Williamstown,NJ,08094,39.6968014,-74.9998214,true,"American (Traditional), Bars, Nightlife, Sports Bars, Restaurants",29,2.5,2025-02-24,9999-12-31,true
9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,9101 Belcher Rd,Pinellas Park,FL,33782,27.8553467494,-82.7363080904,true,"Health & Medical, Personal Care Services, Beauty & Spas, Massage, Nail Salons",16,4.5,2025-02-24,9999-12-31,true
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,110 S MacDade Blvd,Glenolden,PA,19036,39.9036968861,-75.2949812448,true,"American (Traditional), Sports Bars, Restaurants, Bars, Nightlife, Steakhouses, Salad, Beer Bar",25,4.5,2025-02-24,9999-12-31,true
-4dYswJy7SPcbcERvitmIg,Pathmark,3021 Grays Ferry Ave,Philadelphia,PA,19146,39.9404026,-75.1932966,false,"Food, Grocery",34,2.5,2025-02-24,9999-12-31,true
mFTaYsRDyeFaY2NDLfSaAA,River City Games,5203 99 Street NW,Edmonton,AB,T6E 5B7,53.4893123495,-113.4855665582,true,"Tabletop Games, Shopping, Sporting Goods",5,4.5,2025-02-24,9999-12-31,true
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,"7401 N La Cholla Blvd, Ste 146",Tucson,AZ,85707,32.221667,-110.925833,false,"Italian, Restaurants",9,3.5,2025-02-24,9999-12-31,true
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,3173 Cypress Ridge Blvd,Wesley Chapel,FL,33544,28.1962523878,-82.3806153496,true,"Burgers, Sports Bars, Bars, Lounges, Restaurants, Salad, Wraps, Nightlife, American (New)",95,4.5,2025-02-24,9999-12-31,true
cvP_vh_bOLbCY3eoY1Xw-A,Fishers Freedom Festival,1 Park Dr,Fishers,IN,46038,39.958734,-86.016966,false,"Festivals, Arts & Entertainment",7,4.5,2025-02-24,9999-12-31,true
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,5133 E 65th St,Indianapolis,IN,46220,39.8755319,-86.0828565,true,"Food, Beer, Wine & Spirits, Breweries",139,4.5,2025-02-24,9999-12-31,true
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,PA,19104,39.954573,-75.1948936,true,"Restaurants, Automotive, Delis, Gas Stations, Food, Coffee & Tea, Sandwiches, Convenience Stores",56,3,2025-02-24,9999-12-31,true
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,2501 Mt Holly Rd 245,Burlington,NJ,08016,40.0416285,-74.8258209,false,"Restaurants, Japanese, Sushi Bars, Asian Fusion",6,3.5,2025-02-24,9999-12-31,true
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,8540 Bustleton Ave,Philadelphia,PA,19152,40.0723302045,-75.0484833435,true,"Keys & Locksmiths, Home Services, Local Services",58,4.5,2025-02-24,9999-12-31,true
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,true,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",389,4,2025-02-24,9999-12-31,true
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,820 Industrial Dr,Troy,IL,62294,38.7162443,-89.8858296,true,"Pet Groomers, Pet Sitting, Pets, Pet Services",5,4,2025-02-24,9999-12-31,true
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,1001 Poydras St,New Orleans,LA,70112,29.9506467229,-90.0744274301,true,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",350,4.5,2025-02-24,9999-12-31,true
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,114 N 3rd St,Camden,NJ,08102,39.9466899,-75.123327,true,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",6,4.5,2025-02-24,9999-12-31,true
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,129 2nd Ave N,Nashville,TN,37201,36.1626492,-86.7759733,true,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",593,4.5,2025-02-24,9999-12-31,true
-ZXYcCyDjj1QimnJyGtYtg,Gilley's Antique Mall,5789 E US Hwy 40,Plainfield,IN,46168,39.6949931921,-86.4230714504,true,"Home Decor, Shopping, Antiques, Books, Mags, Music & Video, Home & Garden",24,4.5,2025-02-24,9999-12-31,true
nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,825 Cacique St,Santa Barbara,CA,93103,34.4196198,-119.6770319,true,"Towing, Automotive, Body Shops",32,4.5,2025-02-24,9999-12-31,true
vR9_bhoszcpXbB_APv6Xlw,James Dant,5624 E Washington St,Indianapolis,IN,46219,39.7709745063,-86.0711718384,true,"Fashion, Shopping, Men's Clothing",31,5,2025-02-24,9999-12-31,true
RK6-cJ9hj53RzOlCBmpT-g,Impasto,,Tampa,FL,33611,27.890814,-82.5023464,true,"Restaurants, Italian, Food Trucks, Food",5,5,2025-02-24,9999-12-31,true
ZM46RDLXaFNo_z6t-j_L4w,Absolutely Perfect Inc,1153 Byberry Rd,Bensalem,PA,19020,40.1131212,-74.9145975,true,"Masonry/Concrete, Gardeners, Lawn Services, Tree Services, Landscape Architects, Home Services, Contractors, Landscaping",5,3.5,2025-02-24,9999-12-31,true
pEm4xNCk8d0TF6A1gi-WDQ,TKO DJs,2650 S Big Bend,Maplewood,MO,63143,38.6135761,-90.3223828,true,"Karaoke, DJs, Event Planning & Services, Party & Event Planning, Nightlife",17,3.5,2025-02-24,9999-12-31,true
J_ksUDPpzPwfTGtI4zTRnQ,Riverview Room,600 Decatur St,New Orleans,LA,70130,29.9559253,-90.0629624,true,"Event Planning & Services, Caterers, Party & Event Planning",7,4.5,2025-02-24,9999-12-31,true
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,5191 Meadowood Mall Cir,Reno,NV,89502,39.476518,-119.7840369,true,"Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping",5,4.5,2025-02-24,9999-12-31,true
U2Tzy6J9aAAg9pzXsgdkvg,Premier Mortgage Resources,"3363 E Presidential Dr, Ste 200",Meridian,ID,83642,43.6141936,-116.3525001,true,"Real Estate, Home Services, Financial Services, Mortgage Brokers, Mortgage Lenders",6,5,2025-02-24,9999-12-31,true
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,1931 Park Ave,Saint Louis,MO,63104,38.6172724,-90.2127841,false,"American (New), Restaurants, Cafes, Italian, American (Traditional)",80,3.5,2025-02-24,9999-12-31,true
8KMIT0NXu30Jz5Ojo5uxaw,Cornerstone Physical Therapy Associates,"1338 Bristol Pike, Ste 203",Bensalem,PA,19020,40.0722036,-74.9644197,true,"Fitness & Instruction, Physical Therapy, Health & Medical, Active Life, Trainers",6,5,2025-02-24,9999-12-31,true
jiLGdnf42eYftkqfU2ze1w,Saks Fifth Avenue,8701 Keystone Crossing,Indianapolis,IN,46240,39.913836,-86.1079073,true,"Women's Clothing, Men's Clothing, Accessories, Fashion, Jewelry, Department Stores, Shopping, Shoe Stores",29,3.5,2025-02-24,9999-12-31,true
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,51 Ludwig Dr,Fairview Heights,IL,62208,38.6012982,-89.9896835,true,"Seafood, Restaurants",14,2.5,2025-02-24,9999-12-31,true
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,901 Iberville St,New Orleans,LA,70112,29.9554151,-90.0700619,true,"Restaurants, Seafood, Cajun/Creole",382,4,2025-02-24,9999-12-31,true
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,3322 Old Capitol Trl,Wilmington,DE,19808,39.7320886,-75.6256733,true,"Mexican, Restaurants",23,4,2025-02-24,9999-12-31,true
2Bi3ef7c0CrLxHD_-yy_tw,AIM Mail Center,"12112 N Rancho Vistoso Blvd, Ste 150",Oro Valley,AZ,85755,32.4263727,-110.9592405,true,"Printing Services, Local Services, Shipping Centers, Couriers & Delivery Services, Notaries",13,3,2025-02-24,9999-12-31,true
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,163 107th Ave,Treasure Island,FL,33706,27.7694046,-82.767317,true,"Restaurants, French, Moroccan, Seafood, Mediterranean",129,4,2025-02-24,9999-12-31,true
2n9HHBxG7yAyAUwXXa49aw,Mighty Dustless,1256 Valley Hill Trl,Southampton,PA,18966,40.1690207,-75.0093159,true,"Flooring, Handyman, Contractors, Home Services",5,4,2025-02-24,9999-12-31,true
kK2i5Xyd9SOpF5pCFilbcg,Swat Pest Control,36 1/2 W Butler Ave,Chalfont,PA,18914,40.2844964,-75.207999,true,"Pest Control, Local Services",7,4.5,2025-02-24,9999-12-31,true
I6DCYks9lqZeoZiVzW7PmA,Its Sold Here,94 York Rd,Willow Grove,PA,19090,40.1428489,-75.1143791,true,"Shopping, Auction Houses, Active Life",10,1.5,2025-02-24,9999-12-31,true
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,118 W Adams Ave,Saint Louis,MO,63122,38.5832229,-90.4071872,true,"Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars",73,4,2025-02-24,9999-12-31,true
H0NEOp4e3Zu598u6kO3y0g,America's Best Contacts & Eyeglasses,"79 Route 73, Ste 6, Coopers Plaza",Voorhees,NJ,08043,39.824552,-74.929032,true,"Eyewear & Opticians, Health & Medical, Shopping, Doctors, Optometrists, Ophthalmologists",17,3.5,2025-02-24,9999-12-31,true
